ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-05-18,230,19,12
CO-ANT,Colombia,Antioquia,2020-05-18,451,0,229
CO-ARA,Colombia,Arauca,2020-05-18 00:03:35.887078,0,0,0
CO-ATL,Colombia,Atlantico,2020-05-18,640,38,75
CO-DC,Colombia,Bogota,2020-05-18,3260,133,936
CO-BOL,Colombia,Bolivar,2020-05-18,406,41,139
CO-BOY,Colombia,Boyaca,2020-05-18,60,0,20
CO-CAL,Colombia,Caldas,2020-05-18,91,0,35
CO-CAQ,Colombia,Caqueta,2020-05-18,15,0,0
CO-CAS,Colombia,Casanare,2020-05-18,0,0,7
CO-CAU,Colombia,Cauca,2020-05-18,87,0,22
CO-CES,Colombia,Cesar,2020-05-18,70,10,42
CO-COR,Colombia,Choco,2020-05-18,24,0,0
CO-CUN,Colombia,Cordoba,2020-05-18 00:03:35.887078,0,0,0
CO-CHO,Colombia,Cundinamarca,2020-05-18,269,0,140
CO-GUA,Colombia,Guainia,2020-05-18 00:03:35.887078,0,0,0
CO-GUV,Colombia,Guaviare,2020-05-18 00:03:35.887078,0,0,0
CO-HUI,Colombia,Huila,2020-05-18,137,0,51
CO-LAG,Colombia,La Guajira,2020-05-18,14,0,3
CO-MAG,Colombia,Magdalena,2020-05-18,256,24,68
CO-MET,Colombia,Meta,2020-05-18,718,0,33
CO-NAR,Colombia,Narino,2020-05-18,247,13,34
CO-NSA,Colombia,Norte de Santander,2020-05-18,125,0,77
CO-PUT,Colombia,Putumayo,2020-05-18 00:03:35.887078,0,0,0
CO-QUI,Colombia,Quindio,2020-05-18,63,0,54
CO-RIS,Colombia,Risaralda,2020-05-18,0,0,119
CO-SAP,Colombia,San Andres y Providencia,2020-05-18 00:03:35.887078,0,0,0
CO-SAN,Colombia,Santander,2020-05-18 00:03:35.887078,0,0,0
CO-SUC,Colombia,Sucre,2020-05-18 00:03:35.887078,0,0,0
CO-TOL,Colombia,Tolima,2020-05-18,0,6,30
CO-VAC,Colombia,Valle del Cauca,2020-05-18,1088,0,348
CO-VAU,Colombia,Vaupes,2020-05-18 00:03:35.887078,0,0,0
CO-VID,Colombia,Vichada,2020-05-18 00:03:35.887078,0,0,0
