ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-10-21,0,0,2589
CO-ANT,Colombia,Antioquia,2020-10-21,103986,2439,86613
CO-ARA,Colombia,Arauca,2020-10-21,1475,44,1130
CO-ATL,Colombia,Atlantico,2020-10-21,66544,3257,61467
CO-DC,Colombia,Bogota,2020-10-21,252345,7058,205021
CO-BOL,Colombia,Bolivar,2020-10-21,28035,827,25648
CO-BOY,Colombia,Boyaca,2020-10-21,6068,159,4289
CO-CAL,Colombia,Caldas,2020-10-21,4743,142,3207
CO-CAQ,Colombia,Caqueta,2020-10-21,7784,316,6636
CO-CAS,Colombia,Casanare,2020-10-21,1868,44,1201
CO-CAU,Colombia,Cauca,2020-10-21,10830,449,8553
CO-CES,Colombia,Cesar,2020-10-21,17405,585,12865
CO-COR,Colombia,Choco,2020-10-21,3947,170,3629
CO-CUN,Colombia,Cordoba,2020-10-21,22808,1637,19442
CO-CHO,Colombia,Cundinamarca,2020-10-21,30876,969,25185
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-21,9545,337,6344
CO-LAG,Colombia,La Guajira,2020-10-21,7401,0,5760
CO-MAG,Colombia,Magdalena,2020-10-21,14554,891,12093
CO-MET,Colombia,Meta,2020-10-21,14265,402,11512
CO-NAR,Colombia,Narino,2020-10-21,17391,720,14478
CO-NSA,Colombia,Norte de Santander,2020-10-21,42010,2201,32354
CO-PUT,Colombia,Putumayo,2020-10-21,3639,173,3053
CO-QUI,Colombia,Quindio,2020-10-21,2697,88,1674
CO-RIS,Colombia,Risaralda,2020-10-21,9576,236,6975
CO-SAP,Colombia,San Andres y Providencia,2020-10-21,938,0,361
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-21,13544,609,12057
CO-TOL,Colombia,Tolima,2020-10-21,10960,343,8215
CO-VAC,Colombia,Valle del Cauca,2020-10-21,54705,2142,44918
CO-VAU,Colombia,Vaupes,2020-10-21,693,0,529
CO-VID,Colombia,Vichada,,0,0,0
