ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-09-05,2470,0,2270
CO-ANT,Colombia,Antioquia,2020-09-05,20613,422,5575
CO-ARA,Colombia,Arauca,2020-09-05,176,3,96
CO-ATL,Colombia,Atlantico,2020-09-05,46593,2598,28131
CO-DC,Colombia,Bogota,2020-09-05,74650,2375,29062
CO-BOL,Colombia,Bolivar,2020-09-05,15947,588,10653
CO-BOY,Colombia,Boyaca,2020-09-05,714,33,393
CO-CAL,Colombia,Caldas,2020-09-05,549,14,270
CO-CAQ,Colombia,Caqueta,2020-09-05,486,15,55
CO-CAS,Colombia,Casanare,2020-09-05,201,0,98
CO-CAU,Colombia,Cauca,2020-09-05,3396,208,1839
CO-CES,Colombia,Cesar,2020-09-05,2299,63,1239
CO-COR,Colombia,Choco,2020-09-05,2758,112,1587
CO-CUN,Colombia,Cordoba,2020-09-05,3345,732,854
CO-CHO,Colombia,Cundinamarca,2020-09-05,6472,211,3131
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-09-05,616,0,375
CO-LAG,Colombia,La Guajira,2020-09-05,1677,124,607
CO-MAG,Colombia,Magdalena,2020-09-05,4778,428,2122
CO-MET,Colombia,Meta,2020-09-05,2118,36,1434
CO-NAR,Colombia,Narino,2020-09-05,6292,240,3433
CO-NSA,Colombia,Norte de Santander,2020-09-05,3507,184,1189
CO-PUT,Colombia,Putumayo,2020-09-05,464,35,27
CO-QUI,Colombia,Quindio,2020-09-05,226,0,181
CO-RIS,Colombia,Risaralda,2020-09-05,1170,0,586
CO-SAP,Colombia,San Andres y Providencia,2020-09-05,33,0,25
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-09-05,4851,357,1710
CO-TOL,Colombia,Tolima,2020-09-05,1920,49,1159
CO-VAC,Colombia,Valle del Cauca,2020-09-05,17921,781,8847
CO-VAU,Colombia,Vaupes,2020-09-05,0,0,30
CO-VID,Colombia,Vichada,,0,0,0
