ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-10-08,1505,0,165
CO-ANT,Colombia,Antioquia,2020-10-08,861,0,435
CO-ARA,Colombia,Arauca,,0,0,0
CO-ATL,Colombia,Atlantico,2020-10-08,2857,127,539
CO-DC,Colombia,Bogota,2020-10-08,7395,254,2976
CO-BOL,Colombia,Bolivar,2020-10-08,2305,156,530
CO-BOY,Colombia,Boyaca,2020-10-08,162,0,68
CO-CAL,Colombia,Caldas,2020-10-08,0,0,99
CO-CAQ,Colombia,Caqueta,2020-10-08,22,0,0
CO-CAS,Colombia,Casanare,2020-10-08,32,0,0
CO-CAU,Colombia,Cauca,2020-10-08,323,35,68
CO-CES,Colombia,Cesar,2020-10-08,95,0,59
CO-COR,Colombia,Choco,2020-10-08,109,6,28
CO-CUN,Colombia,Cordoba,2020-10-08,92,9,31
CO-CHO,Colombia,Cundinamarca,2020-10-08,529,0,225
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-08,237,0,159
CO-LAG,Colombia,La Guajira,2020-10-08,49,0,0
CO-MAG,Colombia,Magdalena,2020-10-08,505,45,200
CO-MET,Colombia,Meta,2020-10-08,970,0,0
CO-NAR,Colombia,Narino,2020-10-08,788,0,146
CO-NSA,Colombia,Norte de Santander,2020-10-08,0,0,129
CO-PUT,Colombia,Putumayo,2020-10-08,7,0,0
CO-QUI,Colombia,Quindio,2020-10-08,94,0,74
CO-RIS,Colombia,Risaralda,2020-10-08,245,0,0
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-08,7,0,0
CO-TOL,Colombia,Tolima,2020-10-08,225,0,121
CO-VAC,Colombia,Valle del Cauca,2020-10-08,2236,124,875
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
