ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,,0,0,0
CO-ANT,Colombia,Antioquia,2020-10-17,100889,2374,84100
CO-ARA,Colombia,Arauca,2020-10-17,1404,0,1059
CO-ATL,Colombia,Atlantico,2020-10-17,66272,3242,61219
CO-DC,Colombia,Bogota,2020-10-17,247254,6915,199418
CO-BOL,Colombia,Bolivar,2020-10-17,27807,819,25032
CO-BOY,Colombia,Boyaca,2020-10-17,5745,147,4139
CO-CAL,Colombia,Caldas,2020-10-17,4370,133,3017
CO-CAQ,Colombia,Caqueta,2020-10-17,7389,302,6398
CO-CAS,Colombia,Casanare,2020-10-17,1684,43,1140
CO-CAU,Colombia,Cauca,2020-10-17,10396,434,8293
CO-CES,Colombia,Cesar,2020-10-17,16648,553,12189
CO-COR,Colombia,Choco,2020-10-17,3900,0,3610
CO-CUN,Colombia,Cordoba,2020-10-17,22504,1630,19098
CO-CHO,Colombia,Cundinamarca,2020-10-17,29849,954,24443
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-10-17,8760,306,5925
CO-LAG,Colombia,La Guajira,2020-10-17,7062,298,5532
CO-MAG,Colombia,Magdalena,2020-10-17,14246,873,11862
CO-MET,Colombia,Meta,2020-10-17,13519,390,10919
CO-NAR,Colombia,Narino,2020-10-17,16438,705,13848
CO-NSA,Colombia,Norte de Santander,2020-10-17,40417,2139,31111
CO-PUT,Colombia,Putumayo,2020-10-17,3502,170,2930
CO-QUI,Colombia,Quindio,2020-10-17,2410,80,1530
CO-RIS,Colombia,Risaralda,2020-10-17,9083,212,6663
CO-SAP,Colombia,San Andres y Providencia,2020-10-17,697,0,309
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-10-17,13416,602,11815
CO-TOL,Colombia,Tolima,2020-10-17,10320,326,7844
CO-VAC,Colombia,Valle del Cauca,2020-10-17,53167,2094,44091
CO-VAU,Colombia,Vaupes,2020-10-17,642,0,445
CO-VID,Colombia,Vichada,,0,0,0
