ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-09-21,2458,0,2260
CO-ANT,Colombia,Antioquia,2020-09-21,16840,332,4708
CO-ARA,Colombia,Arauca,2020-09-21,172,1,84
CO-ATL,Colombia,Atlantico,2020-09-21,44707,2550,25282
CO-DC,Colombia,Bogota,2020-09-21,65644,2059,26132
CO-BOL,Colombia,Bolivar,2020-09-21,15208,574,9885
CO-BOY,Colombia,Boyaca,2020-09-21,648,31,369
CO-CAL,Colombia,Caldas,2020-09-21,396,13,261
CO-CAQ,Colombia,Caqueta,2020-09-21,395,12,42
CO-CAS,Colombia,Casanare,2020-09-21,175,0,96
CO-CAU,Colombia,Cauca,2020-09-21,3021,194,1681
CO-CES,Colombia,Cesar,2020-09-21,2106,0,1167
CO-COR,Colombia,Choco,2020-09-21,2528,0,1482
CO-CUN,Colombia,Cordoba,2020-09-21,2859,621,722
CO-CHO,Colombia,Cundinamarca,2020-09-21,5993,178,2911
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-09-21,552,22,0
CO-LAG,Colombia,La Guajira,2020-09-21,1582,112,495
CO-MAG,Colombia,Magdalena,2020-09-21,4354,410,1867
CO-MET,Colombia,Meta,2020-09-21,1972,31,1363
CO-NAR,Colombia,Narino,2020-09-21,5651,223,3270
CO-NSA,Colombia,Norte de Santander,2020-09-21,2882,141,1051
CO-PUT,Colombia,Putumayo,2020-09-21,296,29,0
CO-QUI,Colombia,Quindio,2020-09-21,214,0,177
CO-RIS,Colombia,Risaralda,2020-09-21,1005,24,552
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-09-21,4347,329,1446
CO-TOL,Colombia,Tolima,2020-09-21,1817,42,939
CO-VAC,Colombia,Valle del Cauca,2020-09-21,16024,694,8034
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
