ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-09-12,0,0,2302
CO-ANT,Colombia,Antioquia,2020-09-12,27231,606,8021
CO-ARA,Colombia,Arauca,2020-09-12,185,0,111
CO-ATL,Colombia,Atlantico,2020-09-12,50211,2716,34251
CO-DC,Colombia,Bogota,2020-09-12,91462,2902,40081
CO-BOL,Colombia,Bolivar,2020-09-12,17365,624,12199
CO-BOY,Colombia,Boyaca,2020-09-12,838,38,452
CO-CAL,Colombia,Caldas,2020-09-12,733,17,290
CO-CAQ,Colombia,Caqueta,2020-09-12,745,25,117
CO-CAS,Colombia,Casanare,2020-09-12,270,0,113
CO-CAU,Colombia,Cauca,2020-09-12,3796,227,2221
CO-CES,Colombia,Cesar,2020-09-12,2784,78,1441
CO-COR,Colombia,Choco,2020-09-12,2913,128,1888
CO-CUN,Colombia,Cordoba,2020-09-12,4839,919,1417
CO-CHO,Colombia,Cundinamarca,2020-09-12,7417,265,3915
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-09-12,729,31,416
CO-LAG,Colombia,La Guajira,2020-09-12,1971,138,933
CO-MAG,Colombia,Magdalena,2020-09-12,5654,479,2922
CO-MET,Colombia,Meta,2020-09-12,2374,0,1614
CO-NAR,Colombia,Narino,2020-09-12,7256,288,3987
CO-NSA,Colombia,Norte de Santander,2020-09-12,4894,303,1621
CO-PUT,Colombia,Putumayo,2020-09-12,772,0,69
CO-QUI,Colombia,Quindio,2020-09-12,265,12,199
CO-RIS,Colombia,Risaralda,2020-09-12,1436,0,663
CO-SAP,Colombia,San Andres y Providencia,2020-09-12,36,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-09-12,5662,399,2478
CO-TOL,Colombia,Tolima,2020-09-12,2234,63,1325
CO-VAC,Colombia,Valle del Cauca,2020-09-12,20634,921,10970
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
