ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-08-25,2411,0,2138
CO-ANT,Colombia,Antioquia,2020-08-25,8745,139,3091
CO-ARA,Colombia,Arauca,2020-08-25,0,0,27
CO-ATL,Colombia,Atlantico,2020-08-25,32639,2185,14701
CO-DC,Colombia,Bogota,2020-08-25,47538,1339,18724
CO-BOL,Colombia,Bolivar,2020-08-25,11930,506,7142
CO-BOY,Colombia,Boyaca,2020-08-25,486,0,319
CO-CAL,Colombia,Caldas,2020-08-25,0,0,243
CO-CAQ,Colombia,Caqueta,2020-08-25,97,5,0
CO-CAS,Colombia,Casanare,2020-08-25,116,0,62
CO-CAU,Colombia,Cauca,2020-08-25,2440,159,1278
CO-CES,Colombia,Cesar,2020-08-25,1432,0,870
CO-COR,Colombia,Choco,2020-08-25,2175,99,1058
CO-CUN,Colombia,Cordoba,2020-08-25,1526,300,404
CO-CHO,Colombia,Cundinamarca,2020-08-25,4033,100,2157
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-08-25,417,18,326
CO-LAG,Colombia,La Guajira,2020-08-25,886,74,245
CO-MAG,Colombia,Magdalena,2020-08-25,2786,311,1156
CO-MET,Colombia,Meta,2020-08-25,1547,0,1132
CO-NAR,Colombia,Narino,2020-08-25,4457,162,2737
CO-NSA,Colombia,Norte de Santander,2020-08-25,1810,71,749
CO-PUT,Colombia,Putumayo,2020-08-25,88,14,15
CO-QUI,Colombia,Quindio,2020-08-25,0,0,149
CO-RIS,Colombia,Risaralda,2020-08-25,722,0,431
CO-SAP,Colombia,San Andres y Providencia,2020-08-25,0,0,23
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-08-25,2419,234,557
CO-TOL,Colombia,Tolima,2020-08-25,1427,30,551
CO-VAC,Colombia,Valle del Cauca,2020-08-25,12494,485,5866
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
