ISO 3166-2 Code,Country,Subdivision,Last Update,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06
BR-SP,Brazil,Sao Paulo,2020-08-07 19:28:25.003311,1.0,1,1,1,2,2,2,2,3,6,10.0,13.0,16,16,19,30,42,56,65,136.0,152.0,164,240,286,396,459.0,631.0,745.0,810.0,862,1052.0,1223.0,1406,1451,1517.0,2339.0,2981,3506,4048.0,4466.0,4620,4866,5682,6708,7480,8216,8419.0,8755.0,8895.0,9371.0,11043.0,11568.0,12841.0,13894.0,14267.0,14580.0,15385.0,15914.0,16740.0,17826.0,20004.0,20715.0,21696.0,24041.0,26158.0,28698.0,30374.0,31174.0,31772.0,32187.0,34053.0,37853.0,39928.0,41830.0,44411.0,45444.0,46131.0,47719.0,51097.0,54286.0,58378.0,61183.0,62345.0,63066.0,65995.0,69859.0,73739.0,76871.0,80558.0,82161.0,83625.0,86017.0,89483.0,95865.0,101556.0,107142.0,109698.0,111296.0,118295.0,123483.0,129200.0,134565.0,140549.0,143073.0,144593.0,150138.0,156316.0,162520.0,167900.0,172875.0,178202.0,181460.0,190285.0,191517.0,192628.0,211658.0,215793.0,219185.0,221973.0,229475.0,238822.0,248587.0,258508.0,265581.0,271737.0,275145.0,281380.0,289935.0,302179.0,310702.0,312530.0,320179.0,323070.0,332708.0,341365.0,349715.0,359110.0,366890.0,371997.0,374607.0,386607.0,393176.0,402048.0,407415.0,412027.0,415049.0,416434.0,422669.0,439446.0,452007.0,463218.0,479481.0,483982.0,487654.0,487654.0,514197.0,529006.0,542304.0,,,,,,
BR-SE,Brazil,Sergipe,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,4,5,6,6,10.0,10.0,10.0,15.0,16,16.0,16.0,16,16,16.0,19.0,20,23,25.0,27.0,32,32,36,36,39,42,42.0,44.0,44.0,45.0,46.0,48.0,53.0,71.0,83.0,86.0,92.0,117.0,124.0,144.0,153.0,159.0,197.0,280.0,337.0,447.0,517.0,601.0,730.0,772.0,898.0,998.0,1214.0,1438.0,1588.0,1771.0,1800.0,2032.0,2268.0,2494.0,2868.0,3135.0,3343.0,3566.0,3967.0,4277.0,4734.0,4922.0,5131.0,5314.0,5448.0,5735.0,5912.0,6156.0,6462.0,6805.0,6999.0,7233.0,7555.0,7989.0,8200.0,8577.0,8972.0,9290.0,9727.0,10126.0,10615.0,11056.0,11534.0,12866.0,13968.0,15675.0,16310.0,16807.0,17338.0,17808.0,18449.0,18985.0,19384.0,19883.0,20353.0,21081.0,21908.0,23319.0,24421.0,24817.0,25411.0,25915.0,26612.0,28186.0,29761.0,30217.0,30718.0,31640.0,32490.0,33416.0,34713.0,36046.0,37631.0,38221.0,39167.0,40139.0,41226.0,41888.0,43072.0,45243.0,46059.0,47110.0,48140.0,49397.0,51132.0,52264.0,52603.0,53612.0,55009.0,56214.0,57684.0,58713.0,,,,,,
BR-TO,Brazil,Tocantins,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,2.0,2.0,5.0,7.0,7,7.0,8.0,9,9,10.0,11.0,12,12,12.0,14.0,17,17,19,23,23,23,23.0,25.0,26.0,26.0,26.0,29.0,31.0,33.0,33.0,34.0,37.0,37.0,37.0,43.0,50.0,58.0,67.0,79.0,116.0,137.0,164.0,191.0,246.0,267.0,303.0,351.0,423.0,494.0,572.0,688.0,747.0,828.0,932.0,1029.0,1179.0,1279.0,1382.0,1496.0,1646.0,1809.0,1976.0,2205.0,2430.0,2591.0,2696.0,2858.0,3023.0,3277.0,3611.0,3981.0,4176.0,4345.0,4483.0,4698.0,4881.0,5182.0,5505.0,5644.0,5807.0,6052.0,6257.0,6529.0,6744.0,6931.0,6972.0,7137.0,7309.0,7573.0,7774.0,7956.0,8203.0,8354.0,8477.0,8766.0,9098.0,9425.0,9681.0,9966.0,10228.0,10359.0,10764.0,11222.0,11454.0,11736.0,12282.0,12475.0,12640.0,13004.0,13440.0,13845.0,14509.0,14939.0,15132.0,15307.0,15723.0,16031.0,16672.0,16954.0,17209.0,17773.0,17898.0,18354.0,18850.0,19423.0,19965.0,20920.0,21767.0,22106.0,22851.0,23517.0,24278.0,24824.0,,,,,,
CL-AN,Chile,Antofagasta,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2.0,2.0,2,2,2,6,10.0,11.0,11.0,13.0,19,20.0,21.0,25,27,35.0,35.0,39,47,54.0,55.0,60,68,69,77,92,110,117.0,138.0,149.0,155.0,176.0,192.0,211.0,226.0,249.0,263.0,291.0,326.0,340.0,366.0,391.0,443.0,457.0,481.0,514.0,546.0,589.0,679.0,740.0,760.0,811.0,855.0,895.0,923.0,947.0,978.0,1014.0,1109.0,1216.0,1277.0,1331.0,1429.0,1505.0,1589.0,1648.0,1731.0,1778.0,1841.0,1897.0,1947.0,2015.0,2063.0,2137.0,2248.0,2318.0,2429.0,2510.0,2585.0,2649.0,2716.0,2862.0,2924.0,3033.0,3154.0,3245.0,3402.0,3559.0,3753.0,3885.0,4038.0,4286.0,4556.0,4643.0,5241.0,5528.0,5828.0,6215.0,6461.0,6708.0,6991.0,7227.0,7515.0,7742.0,8027.0,8308.0,8625.0,8829.0,9083.0,9285.0,9570.0,9823.0,10119.0,10355.0,10594.0,10825.0,11077.0,11267.0,11580.0,11799.0,12034.0,12224.0,12389.0,12500.0,12716.0,12907.0,13109.0,13226.0,13309.0,13482.0,13648.0,13807.0,13939.0,14093.0,14244.0,14371.0,14510.0,14586.0,14754.0,14884.0,15028.0,15184.0,,15446.0,15578.0
CL-AR,Chile,Araucania,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1,4,7,9,15.0,27.0,40.0,59.0,74,111.0,143.0,177,205,247.0,302.0,343,389,432.0,477.0,509,562,612,669,689,712,739.0,775.0,795.0,816.0,826.0,882.0,907.0,944.0,972.0,1045.0,1092.0,1113.0,1142.0,1184.0,1203.0,1216.0,1236.0,1251.0,1273.0,1293.0,1295.0,1314.0,1328.0,1331.0,1352.0,1362.0,1385.0,1403.0,1418.0,1454.0,1466.0,1482.0,1495.0,1536.0,1564.0,1587.0,1606.0,1639.0,1666.0,1680.0,1715.0,1737.0,1774.0,1808.0,1857.0,1883.0,1916.0,1954.0,1989.0,2060.0,2071.0,2111.0,2141.0,2173.0,2182.0,2288.0,2321.0,2377.0,2410.0,2445.0,2488.0,2535.0,2579.0,2645.0,2675.0,2728.0,2775.0,2815.0,2864.0,2897.0,2920.0,2969.0,3009.0,3027.0,3037.0,3064.0,3105.0,3128.0,3172.0,3212.0,3231.0,3246.0,3267.0,3324.0,3369.0,3399.0,3453.0,3472.0,3482.0,3505.0,3538.0,3557.0,3595.0,3604.0,3615.0,3651.0,3666.0,3687.0,3702.0,3724.0,3747.0,3774.0,3782.0,3806.0,3852.0,3878.0,3902.0,3947.0,3978.0,4023.0,4049.0,4097.0,4123.0,4164.0,4208.0,,4254.0,4314.0
CL-AP,Chile,Arica y Parinacota,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,1.0,2.0,2.0,2.0,2,3.0,3.0,3,4,6.0,6.0,6,7,12.0,12.0,28,41,53,63,75,87,107.0,115.0,115.0,120.0,124.0,129.0,134.0,142.0,145.0,161.0,170.0,180.0,210.0,239.0,245.0,252.0,265.0,268.0,272.0,279.0,297.0,307.0,308.0,308.0,315.0,318.0,325.0,327.0,337.0,340.0,351.0,351.0,359.0,363.0,368.0,377.0,378.0,398.0,422.0,424.0,453.0,471.0,482.0,498.0,513.0,522.0,541.0,562.0,582.0,588.0,619.0,636.0,654.0,701.0,736.0,782.0,819.0,850.0,874.0,914.0,930.0,967.0,1011.0,1062.0,1109.0,1139.0,1156.0,1218.0,1239.0,1295.0,1325.0,1371.0,1420.0,1443.0,1473.0,1511.0,1549.0,1611.0,1649.0,1685.0,1713.0,1776.0,1832.0,1889.0,1949.0,2006.0,2087.0,2119.0,2179.0,2273.0,2322.0,2395.0,2467.0,2562.0,2638.0,2735.0,2840.0,2936.0,3012.0,3056.0,3188.0,3291.0,3350.0,3482.0,3627.0,3727.0,3862.0,3939.0,4060.0,4159.0,4257.0,4343.0,4450.0,4525.0,4584.0,,4727.0,4825.0
CL-AT,Chile,Atacama,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1,2,2.0,2.0,3,3,5.0,5.0,5,5,6,8,10,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,18.0,21.0,24.0,29.0,35.0,35.0,42.0,43.0,43.0,59.0,67.0,70.0,78.0,80.0,87.0,88.0,117.0,124.0,133.0,134.0,139.0,140.0,143.0,146.0,149.0,157.0,158.0,163.0,168.0,175.0,182.0,182.0,185.0,188.0,197.0,202.0,207.0,215.0,218.0,232.0,236.0,242.0,258.0,269.0,281.0,306.0,339.0,348.0,365.0,389.0,413.0,436.0,448.0,484.0,502.0,561.0,586.0,623.0,650.0,683.0,718.0,747.0,785.0,837.0,887.0,925.0,956.0,1006.0,1043.0,1114.0,1135.0,1166.0,1208.0,1253.0,1301.0,1323.0,1357.0,1429.0,1467.0,1522.0,1576.0,1633.0,1674.0,1722.0,1734.0,1736.0,1817.0,1857.0,1895.0,1958.0,1989.0,2048.0,2109.0,2183.0,2339.0,2353.0,2401.0,2463.0,2580.0,2697.0,2792.0,2891.0,3024.0,,3225.0,3285.0
CL-AI,Chile,Aysen,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2,2,2.0,2.0,3,5,6.0,6.0,7,7,7,7,7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,12.0,12.0,14.0,16.0,16.0,17.0,17.0,18.0,18.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,22.0,22.0,24.0,24.0,26.0,26.0,26.0,26.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,30.0,35.0,41.0,42.0,42.0,42.0,46.0,46.0,46.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0,56.0,58.0,58.0,60.0,61.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,72.0,72.0,75.0,75.0,77.0,77.0,80.0,80.0,83.0,83.0,,83.0,84.0
CL-BI,Chile,Biobio,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,1,3,3,3.0,4.0,4,7,14,19,30.0,35.0,46.0,73.0,95,109.0,135.0,151,185,201.0,216.0,240,275,302.0,347.0,365,383,410,439,460,474,490.0,500.0,512.0,528.0,542.0,559.0,578.0,606.0,616.0,626.0,636.0,658.0,675.0,683.0,696.0,703.0,706.0,709.0,719.0,727.0,729.0,751.0,759.0,762.0,774.0,789.0,814.0,842.0,882.0,899.0,932.0,942.0,975.0,995.0,1036.0,1074.0,1099.0,1144.0,1172.0,1224.0,1263.0,1311.0,1354.0,1414.0,1458.0,1502.0,1565.0,1677.0,1778.0,1888.0,1979.0,2070.0,2082.0,2215.0,2301.0,2379.0,2490.0,2595.0,2651.0,2694.0,2846.0,2974.0,3103.0,3269.0,3401.0,3460.0,3515.0,4015.0,4183.0,4401.0,4658.0,4911.0,5158.0,5328.0,5464.0,5702.0,5958.0,6139.0,6398.0,6595.0,6697.0,6845.0,6951.0,7131.0,7262.0,7456.0,7611.0,7713.0,7816.0,7980.0,8151.0,8295.0,8459.0,8589.0,8680.0,8792.0,8994.0,9150.0,9300.0,9441.0,9591.0,9696.0,9813.0,9982.0,10165.0,10371.0,10553.0,10697.0,10836.0,10980.0,11135.0,11317.0,11493.0,11675.0,11820.0,,12092.0,12271.0
CL-CO,Chile,Coquimbo,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,3,3.0,5.0,6.0,11.0,12,13.0,14.0,15,18,27.0,28.0,30,34,35.0,44.0,50,51,52,56,61,61,64.0,66.0,66.0,66.0,66.0,68.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,72.0,73.0,73.0,74.0,74.0,76.0,76.0,77.0,78.0,88.0,91.0,97.0,97.0,100.0,111.0,129.0,135.0,140.0,148.0,153.0,165.0,180.0,187.0,194.0,212.0,239.0,263.0,268.0,281.0,294.0,323.0,338.0,384.0,455.0,482.0,537.0,597.0,628.0,668.0,687.0,718.0,772.0,832.0,898.0,990.0,1123.0,1175.0,1256.0,1345.0,1438.0,1512.0,1556.0,1676.0,1720.0,1980.0,2076.0,2195.0,2273.0,2359.0,2428.0,2485.0,2539.0,2637.0,2705.0,2781.0,2857.0,2961.0,3050.0,3119.0,3170.0,3224.0,3333.0,3434.0,3545.0,3621.0,3688.0,3779.0,3918.0,4026.0,4103.0,4166.0,4179.0,4277.0,4361.0,4486.0,4634.0,4792.0,4918.0,4988.0,5061.0,5208.0,5360.0,5522.0,5685.0,5811.0,5913.0,6056.0,6160.0,6333.0,6423.0,6551.0,6633.0,,6821.0,6951.0
CL-LL,Chile,Los Lagos,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,1,1,1,1,1,1,1.0,1.0,1,8,16,18,20.0,23.0,33.0,36.0,44,60.0,63.0,93,104,128.0,151.0,181,203,234.0,259.0,276,286,299,325,340,349,364.0,372.0,380.0,385.0,390.0,399.0,412.0,416.0,421.0,424.0,432.0,445.0,454.0,460.0,465.0,473.0,477.0,477.0,481.0,487.0,501.0,513.0,517.0,524.0,525.0,541.0,545.0,548.0,559.0,575.0,592.0,594.0,628.0,633.0,641.0,644.0,647.0,652.0,656.0,666.0,693.0,717.0,727.0,736.0,763.0,781.0,791.0,814.0,822.0,860.0,863.0,863.0,894.0,913.0,926.0,968.0,985.0,1003.0,1010.0,1028.0,1041.0,1062.0,1083.0,1108.0,1141.0,1168.0,1178.0,1249.0,1263.0,1298.0,1335.0,1385.0,1437.0,1466.0,1483.0,1505.0,1541.0,1573.0,1609.0,1642.0,1656.0,1684.0,1734.0,1806.0,1856.0,1930.0,1956.0,1978.0,2047.0,2099.0,2146.0,2222.0,2286.0,2331.0,2402.0,2456.0,2564.0,2629.0,2662.0,2761.0,2785.0,2860.0,2933.0,3008.0,3129.0,3261.0,3402.0,3524.0,3635.0,3702.0,3785.0,3907.0,4047.0,4179.0,4241.0,,4456.0,4552.0
CL-LR,Chile,Los Rios,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,1.0,1,1,1,1,1.0,1.0,4.0,6.0,11,14.0,22.0,27,40,47.0,58.0,64,68,78.0,89.0,99,104,109,114,118,124,130.0,135.0,138.0,148.0,150.0,153.0,154.0,156.0,157.0,162.0,167.0,171.0,173.0,174.0,177.0,178.0,180.0,180.0,182.0,189.0,189.0,196.0,198.0,199.0,199.0,200.0,202.0,203.0,206.0,206.0,208.0,211.0,212.0,214.0,219.0,219.0,220.0,224.0,229.0,247.0,258.0,262.0,274.0,290.0,297.0,304.0,309.0,318.0,330.0,345.0,356.0,363.0,368.0,372.0,379.0,390.0,400.0,417.0,425.0,446.0,452.0,462.0,479.0,487.0,497.0,529.0,533.0,555.0,567.0,579.0,589.0,610.0,621.0,625.0,629.0,641.0,652.0,659.0,678.0,689.0,701.0,706.0,708.0,713.0,720.0,724.0,731.0,735.0,740.0,753.0,758.0,765.0,766.0,769.0,777.0,781.0,796.0,820.0,825.0,833.0,843.0,847.0,848.0,855.0,859.0,867.0,875.0,882.0,887.0,891.0,898.0,904.0,905.0,911.0,919.0,,928.0,933.0
CL-MA,Chile,Magallanes,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,3.0,4.0,6.0,8.0,13,19.0,22.0,26,39,39.0,63.0,99,114,156.0,172.0,190,221,240,266,286,331,377.0,396.0,415.0,429.0,444.0,467.0,501.0,522.0,553.0,566.0,593.0,605.0,615.0,624.0,655.0,668.0,671.0,693.0,714.0,725.0,726.0,752.0,777.0,795.0,809.0,818.0,836.0,867.0,881.0,893.0,901.0,910.0,921.0,935.0,937.0,952.0,961.0,971.0,972.0,977.0,987.0,992.0,997.0,1010.0,1016.0,1031.0,1037.0,1040.0,1047.0,1054.0,1056.0,1057.0,1060.0,1063.0,1069.0,1072.0,1081.0,1082.0,1088.0,1088.0,1089.0,1102.0,1107.0,1123.0,1153.0,1185.0,1210.0,1284.0,1293.0,1302.0,1315.0,1335.0,1352.0,1363.0,1363.0,1385.0,1397.0,1423.0,1435.0,1440.0,1452.0,1461.0,1465.0,1476.0,1479.0,1486.0,1501.0,1504.0,1507.0,1520.0,1533.0,1545.0,1555.0,1563.0,1578.0,1587.0,1589.0,1592.0,1600.0,1606.0,1609.0,1612.0,1620.0,1627.0,1631.0,1634.0,1643.0,1657.0,1683.0,1687.0,1743.0,1762.0,1782.0,1806.0,1829.0,,1891.0,1934.0
CL-ML,Chile,Maule,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,2.0,2.0,3,4,5,6,7,8,9,9.0,9.0,9,11,14,14,15.0,25.0,28.0,29.0,30,31.0,32.0,37,42,54.0,62.0,71,82,89.0,97.0,103,108,108,119,128,131,134.0,138.0,141.0,142.0,152.0,167.0,223.0,276.0,302.0,304.0,316.0,328.0,333.0,349.0,350.0,354.0,363.0,384.0,392.0,393.0,394.0,396.0,397.0,399.0,408.0,408.0,414.0,425.0,432.0,441.0,454.0,466.0,485.0,519.0,540.0,551.0,573.0,602.0,640.0,680.0,731.0,782.0,823.0,892.0,953.0,1013.0,1066.0,1120.0,1180.0,1256.0,1297.0,1341.0,1381.0,1595.0,1732.0,1834.0,1969.0,2109.0,2176.0,2289.0,2440.0,2560.0,2691.0,2844.0,2997.0,3091.0,3189.0,3386.0,3592.0,3807.0,3958.0,4210.0,4355.0,4504.0,4657.0,4832.0,5013.0,5182.0,5322.0,5463.0,5549.0,5717.0,5820.0,5974.0,6144.0,6265.0,6378.0,6495.0,6581.0,6700.0,6833.0,6946.0,7053.0,7156.0,7241.0,7341.0,7462.0,7603.0,7683.0,7817.0,7884.0,8009.0,8085.0,8200.0,8312.0,8452.0,8574.0,8673.0,8718.0,8830.0,8943.0,9042.0,9103.0,9205.0,9278.0,,9428.0,9524.0
CL-NB,Chile,Nuble,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,2,4,4.0,12.0,26,26,28,44,58.0,64.0,81.0,105.0,111,114.0,144.0,172,197,229.0,245.0,259,341,370.0,401.0,425,474,522,561,571,589,606.0,613.0,618.0,622.0,634.0,639.0,656.0,667.0,678.0,687.0,694.0,703.0,708.0,715.0,725.0,731.0,741.0,747.0,761.0,768.0,768.0,776.0,786.0,787.0,789.0,791.0,793.0,794.0,801.0,812.0,814.0,826.0,839.0,849.0,885.0,921.0,942.0,985.0,988.0,1011.0,1020.0,1025.0,1077.0,1102.0,1139.0,1147.0,1174.0,1205.0,1242.0,1256.0,1257.0,1290.0,1290.0,1329.0,1372.0,1429.0,1470.0,1490.0,1552.0,1584.0,1616.0,1673.0,1718.0,1737.0,1778.0,1832.0,1852.0,1929.0,1974.0,2103.0,2135.0,2159.0,2181.0,2195.0,2219.0,2233.0,2274.0,2317.0,2363.0,2384.0,2397.0,2414.0,2447.0,2490.0,2533.0,2577.0,2617.0,2640.0,2700.0,2782.0,2838.0,2909.0,2965.0,2989.0,3013.0,3032.0,3080.0,3095.0,3193.0,3222.0,3250.0,3273.0,3286.0,3323.0,3349.0,3370.0,3377.0,3436.0,3449.0,3479.0,3504.0,3529.0,3556.0,3583.0,3603.0,,3644.0,3656.0
CL-LI,Chile,O'Higgins,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,6,7.0,8.0,8.0,9.0,11,14.0,16.0,20,21,21.0,23.0,26,32,33.0,38.0,41,42,42,43,44,44,45.0,46.0,48.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0,57.0,59.0,76.0,81.0,85.0,92.0,94.0,97.0,104.0,108.0,109.0,120.0,125.0,131.0,136.0,145.0,151.0,167.0,182.0,195.0,216.0,224.0,248.0,295.0,323.0,329.0,366.0,418.0,442.0,455.0,465.0,492.0,518.0,554.0,588.0,654.0,691.0,705.0,745.0,756.0,785.0,813.0,843.0,931.0,967.0,1016.0,1111.0,1183.0,1255.0,1317.0,1442.0,1552.0,1629.0,1788.0,1927.0,2012.0,2221.0,2797.0,3017.0,3311.0,3613.0,3952.0,4186.0,4361.0,4610.0,4868.0,5136.0,5322.0,5606.0,5844.0,6081.0,6245.0,6445.0,6625.0,6859.0,7068.0,7255.0,7468.0,7567.0,7761.0,8069.0,8210.0,8338.0,8487.0,8639.0,8755.0,8987.0,9163.0,9249.0,9366.0,9472.0,9559.0,9688.0,9817.0,9979.0,10083.0,10194.0,10289.0,10328.0,10415.0,10519.0,10611.0,10699.0,10791.0,10877.0,,10985.0,11088.0
CL-RM,Chile,Santiago,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,3.0,4.0,6,7,10,13,23,29,40,54.0,123.0,152,174,247,304,359.0,409.0,459.0,540.0,682,746.0,938.0,1084,1167,1295.0,1420.0,1521,1636,1742.0,1957.0,2102,2244,2350,2548,2832,3193,3448.0,3599.0,3803.0,4086.0,4334.0,4682.0,4915.0,5192.0,5381.0,5643.0,5788.0,6083.0,6434.0,6761.0,7165.0,7496.0,7858.0,8300.0,8889.0,9625.0,10516.0,11661.0,12656.0,13528.0,14707.0,15582.0,16828.0,17979.0,18957.0,20353.0,21317.0,22709.0,24965.0,27216.0,29276.0,30794.0,32684.0,34451.0,37591.0,41179.0,44641.0,48350.0,51399.0,54544.0,58930.0,62285.0,66011.0,69915.0,72910.0,76251.0,80504.0,85239.0,88194.0,92191.0,95890.0,99066.0,103194.0,108462.0,112136.0,115126.0,119746.0,124135.0,129694.0,134751.0,140398.0,144280.0,148302.0,180532.0,183553.0,187974.0,191577.0,195366.0,198392.0,200861.0,203211.0,206246.0,208862.0,211819.0,214388.0,216896.0,219151.0,220467.0,221820.0,223892.0,226128.0,228208.0,229856.0,231171.0,232158.0,233845.0,235370.0,236699.0,238360.0,239791.0,240655.0,241345.0,242572.0,244073.0,245161.0,245983.0,246946.0,247622.0,248352.0,249355.0,250420.0,251317.0,252122.0,253028.0,253688.0,254354.0,255020.0,255841.0,256628.0,257394.0,258080.0,,259224.0,259922.0
CL-TA,Chile,Tarapaca,2020-08-07 19:28:25.003311,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,4.0,4,5.0,5.0,5,6,8.0,10.0,10,12,13.0,17.0,20,21,23,26,29,35,38.0,46.0,52.0,62.0,62.0,66.0,73.0,81.0,90.0,93.0,104.0,114.0,128.0,134.0,143.0,156.0,164.0,169.0,183.0,198.0,200.0,212.0,272.0,295.0,322.0,339.0,417.0,459.0,485.0,520.0,547.0,578.0,615.0,682.0,779.0,845.0,975.0,1056.0,1109.0,1139.0,1246.0,1393.0,1471.0,1564.0,1630.0,1737.0,1811.0,1957.0,2093.0,2250.0,2361.0,2526.0,2594.0,2682.0,2810.0,2965.0,3094.0,3250.0,3392.0,3491.0,3591.0,3696.0,3823.0,4004.0,4145.0,4258.0,4365.0,4787.0,4869.0,4995.0,5143.0,5258.0,5355.0,5442.0,5504.0,5577.0,5712.0,5771.0,5893.0,5974.0,6049.0,6116.0,6215.0,6298.0,6372.0,6508.0,6632.0,6705.0,6789.0,6867.0,6961.0,7050.0,7147.0,7191.0,7217.0,7266.0,7353.0,7451.0,7557.0,7627.0,7761.0,7820.0,7869.0,7953.0,8079.0,8147.0,8188.0,8308.0,8585.0,8648.0,8764.0,8797.0,8863.0,8922.0,8985.0,,9128.0,9167.0
