ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-06-24,2211,0,1767
CO-ANT,Colombia,Antioquia,2020-06-24,3098,0,1149
CO-ARA,Colombia,Arauca,2020-06-24,72,0,0
CO-ATL,Colombia,Atlantico,2020-06-24,9250,0,2351
CO-DC,Colombia,Bogota,,0,0,0
CO-BOL,Colombia,Bolivar,2020-06-24,6583,0,2922
CO-BOY,Colombia,Boyaca,,0,0,0
CO-CAL,Colombia,Caldas,2020-06-24,237,0,147
CO-CAQ,Colombia,Caqueta,,0,0,0
CO-CAS,Colombia,Casanare,2020-06-24,58,0,0
CO-CAU,Colombia,Cauca,2020-06-24,1555,87,589
CO-CES,Colombia,Cesar,2020-06-24,733,0,188
CO-COR,Colombia,Choco,,0,0,0
CO-CUN,Colombia,Cordoba,,0,0,0
CO-CHO,Colombia,Cundinamarca,2020-06-24,2128,50,962
CO-GUA,Colombia,Guainia,,0,0,0
CO-GUV,Colombia,Guaviare,,0,0,0
CO-HUI,Colombia,Huila,2020-06-24,314,0,240
CO-LAG,Colombia,La Guajira,2020-06-24,231,0,59
CO-MAG,Colombia,Magdalena,2020-06-24,1325,0,587
CO-MET,Colombia,Meta,2020-06-24,1137,0,0
CO-NAR,Colombia,Narino,,0,0,0
CO-NSA,Colombia,Norte de Santander,2020-06-24,755,0,238
CO-PUT,Colombia,Putumayo,2020-06-24,19,0,0
CO-QUI,Colombia,Quindio,,0,0,0
CO-RIS,Colombia,Risaralda,2020-06-24,436,0,0
CO-SAP,Colombia,San Andres y Providencia,,0,0,0
CO-SAN,Colombia,Santander,,0,0,0
CO-SUC,Colombia,Sucre,2020-06-24,643,0,48
CO-TOL,Colombia,Tolima,2020-06-24,690,0,261
CO-VAC,Colombia,Valle del Cauca,2020-06-24,6632,0,2802
CO-VAU,Colombia,Vaupes,,0,0,0
CO-VID,Colombia,Vichada,,0,0,0
