"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"105100",2020-02-29,34.6,25,"78.8","0"
"105100",2020-03-01,36.8,24.4,"68.4","0"
"105100",2020-03-02,37,22.7,"67.5","0"
"105100",2020-03-03,37.2,22.1,"71","0"
"105100",2020-03-04,37.6,22.1,"70.4","0"
"105100",2020-03-05,37.8,22.5,"68.8","0"
"105100",2020-03-06,38.6,23.4,"66.4","T"
"105100",2020-03-07,36.8,23.5,"73.2","0"
"105100",2020-03-08,37.4,24.2,"71","0"
"105100",2020-03-09,36.4,24.7,"63.4","0"
"105100",2020-03-10,37.2,22.1,"63.9","0"
"105100",2020-03-11,38,23.3,"64.1","0"
"105100",2020-03-12,36.4,23.4,"71.5","0"
"105100",2020-03-13,37.6,23.1,"65.3","0"
"105100",2020-03-14,36.6,23.4,"72.7","0"
"105100",2020-03-15,37.5,23.5,"66.9","0"
"105100",2020-03-16,37.8,23.5,"66.5","0"
"105100",2020-03-17,S/D,22.8,"S/D","0"
