"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"116025",2019-11-01,20.3,7,"62","T"
"116025",2019-11-02,20.4,7.3,"56.3","0"
"116025",2019-11-03,20.8,6.9,"57.2","0"
"116025",2019-11-04,21.4,6.4,"58.9","0"
"116025",2019-11-05,20.9,5.5,"50","0"
"116025",2019-11-06,20.6,6.9,"57.2","0"
"116025",2019-11-07,21.6,6.7,"51.4","0"
"116025",2019-11-08,22.3,6.9,"52.3","0"
"116025",2019-11-09,21.5,6.5,"57","0"
"116025",2019-11-10,20.1,6.7,"56.5","0"
"116025",2019-11-11,21,7.5,"61.2","0"
"116025",2019-11-12,20.5,7.2,"55","0"
"116025",2019-11-13,20,6.4,"55.5","0"
"116025",2019-11-14,20.7,4.9,"49.4","0"
"116025",2019-11-15,20.9,5.7,"51.2","0"
"116025",2019-11-16,20.2,6.6,"59.9","0"
"116025",2019-11-17,21.9,7.3,"53","0"
"116025",2019-11-18,20.8,7.1,"56.5","0"
"116025",2019-11-19,19.9,6.9,"62","0.5"
"116025",2019-11-20,20.2,7.9,"56.2","0"
"116025",2019-11-21,21.4,7.7,"53.3","0"
"116025",2019-11-22,21.5,7.4,"55.4","0"
"116025",2019-11-23,21.6,7.9,"60.7","0"
"116025",2019-11-24,22,8.1,"S/D","T"
"116025",2019-11-25,20.6,8.8,"58.7","0"
"116025",2019-11-26,22.1,7.9,"58.3","0"
"116025",2019-11-27,22.3,6.6,"46.7","0"
"116025",2019-11-28,21,7.4,"63.7","0"
"116025",2019-11-29,22.5,8,"55.8","0"
"116025",2019-11-30,20.6,6.8,"45.8","0"
"116025",2019-12-01,20.3,7.1,"54","0"
"116025",2019-12-02,20.9,7.4,"53.1","0"
"116025",2019-12-03,21,8.1,"56.3","0"
"116025",2019-12-04,21.5,8.3,"59.9","0"
"116025",2019-12-05,20.9,7.3,"56.1","0"
"116025",2019-12-06,20,7.4,"68.7","0"
"116025",2019-12-07,20.3,7.2,"55","0"
"116025",2019-12-08,20.2,8.5,"58.4","0"
"116025",2019-12-09,20.7,6.9,"55.9","0"
"116025",2019-12-10,19.8,5.9,"62.1","0"
"116025",2019-12-11,20.4,7.1,"56.9","0"
"116025",2019-12-12,20.9,6.6,"58.1","0"
"116025",2019-12-13,21,6.3,"61.6","0"
"116025",2019-12-14,21.2,5.4,"56.7","0"
"116025",2019-12-15,21.7,4.9,"54.8","0"
"116025",2019-12-16,20.9,5.1,"54.6","0"
"116025",2019-12-17,21.7,6.4,"64.8","0"
"116025",2019-12-18,20.9,6.7,"63.6","0"
"116025",2019-12-19,19.8,5.8,"56.8","0"
"116025",2019-12-20,19.2,5.5,"60.2","0"
"116025",2019-12-21,22,6.9,"59","0"
"116025",2019-12-22,21.1,6.7,"56.2","0"
"116025",2019-12-23,21.9,6.9,"61","0"
"116025",2019-12-24,20.7,7.3,"57.2","0"
"116025",2019-12-25,20.9,7.3,"59.4","T"
"116025",2019-12-26,20.1,6.7,"65.5","1.4"
"116025",2019-12-27,19.8,8,"83.2","1.9"
"116025",2019-12-28,20.5,6.3,"68.9","0"
"116025",2019-12-29,20.7,7.1,"58.9","0"
"116025",2019-12-30,20.1,6.8,"64.2","1.1"
"116025",2019-12-31,19.8,7.4,"62.6","T"
"116025",2020-01-01,18.3,7.4,"77.3","3.3"
"116025",2020-01-02,17.6,8.2,"82.8","11.5"
"116025",2020-01-03,18.8,4.4,"88.8","10.2"
"116025",2020-01-04,19.4,6.5,"85.3","9.6"
"116025",2020-01-05,18.9,5.3,"92.4","6.4"
"116025",2020-01-06,19.6,6.2,"79.4","0.8"
"116025",2020-01-07,20,7.5,"72.8","0"
"116025",2020-01-08,20.8,8.6,"62.8","0"
"116025",2020-01-09,21.6,8.4,"58.8","0"
"116025",2020-01-10,20.7,8.1,"66.4","T"
"116025",2020-01-11,20.7,8.2,"70.5","0"
"116025",2020-01-12,22.2,6,"57.5","1.1"
"116025",2020-01-13,20.9,7.7,"74.2","8.1"
"116025",2020-01-14,21.3,7.8,"78.5","1.4"
"116025",2020-01-15,19.8,8.3,"78.9","2.9"
"116025",2020-01-16,19.7,7.9,"68","0"
"116025",2020-01-17,20.6,6,"60.1","0"
"116025",2020-01-18,19.9,6.1,"65.8","-886.4"
"116025",2020-01-19,20.3,7.5,"75.6","18.9"
"116025",2020-01-20,20.4,7,"76.7","7"
"116025",2020-01-21,19.6,4.9,"98","5.7"
"116025",2020-01-22,16,4.4,"98.2","16.4"
"116025",2020-01-23,18.8,4,"97.4","19.5"
"116025",2020-01-24,18,5,"88.2","12.7"
"116025",2020-01-25,19.7,5.5,"95","14.6"
"116025",2020-01-26,20.4,6.9,"89.8","0.2"
"116025",2020-01-27,19.9,6.7,"74.3","0"
"116025",2020-01-28,20.7,6.6,"69.1","4.9"
"116025",2020-01-29,15.5,7.9,"87.7","2.6"
"116025",2020-01-30,18.7,7.8,"92","0.1"
"116025",2020-01-31,20.7,8,"87.2","3.3"
"116025",2020-02-01,20.2,7.5,"72.7","7.7"
"116025",2020-02-02,21.2,8.4,"74.7","0"
"116025",2020-02-03,20.8,7.8,"70.2","0"
"116025",2020-02-04,20.9,5.8,"66.7","0"
"116025",2020-02-05,19.9,5,"63","0"
"116025",2020-02-06,19.7,5.4,"45.7","0"
"116025",2020-02-07,20.2,4.9,"57.6","0"
"116025",2020-02-08,19.3,5.1,"83.4","13.1"
"116025",2020-02-09,18.9,7.9,"97.8","7.9"
"116025",2020-02-10,20.1,7.8,"93.9","10.2"
"116025",2020-02-11,19.1,10,"96.3","7.4"
"116025",2020-02-12,17.9,8.4,"97.5","18.6"
"116025",2020-02-13,19.1,10.2,"97.7","20"
"116025",2020-02-14,19.7,9.2,"91.4","8"
