"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"100109",2019-11-01,30,22.5,"89.1","0"
"100109",2019-11-02,35,23.2,"86.3","0"
"100109",2019-11-03,34,23.6,"88.5","0"
"100109",2019-11-04,34,24.6,"90.4","0"
"100109",2019-11-05,35,24.2,"88.3","0"
"100109",2019-11-06,34.6,23.6,"90.3","6.8"
"100109",2019-11-07,27.6,23.2,"94.9","8.4"
"100109",2019-11-08,33.6,22.8,"91.2","0"
"100109",2019-11-09,30,23,"91","0"
"100109",2019-11-10,28.4,21.2,"92.7","0"
"100109",2019-11-11,30.2,22.4,"91.5","0"
"100109",2019-11-12,33.6,22.6,"86.9","0"
"100109",2019-11-13,35,24.2,"86.2","7.2"
"100109",2019-11-14,28.8,25,"91","64"
"100109",2019-11-15,25,21.2,"92","35"
"100109",2019-11-16,29,21.4,"92.3","0"
"100109",2019-11-17,30,23,"91.8","0"
"100109",2019-11-18,35.4,22.6,"89.4","0"
"100109",2019-11-19,33.4,24,"90.6","9.6"
"100109",2019-11-20,32.4,22,"90.5","0"
"100109",2019-11-21,32,24.6,"89.9","0"
"100109",2019-11-22,33.6,24.4,"91.1","4"
"100109",2019-11-23,26.8,24.8,"96.3","40.4"
"100109",2019-11-24,31,21.6,"90.2","0"
"100109",2019-11-25,33.4,23.2,"89.7","0"
"100109",2019-11-26,34,23.6,"83.9","0"
"100109",2019-11-27,32.6,25.2,"87","16.4"
"100109",2019-11-28,24.8,24.4,"96.1","33"
"100109",2019-11-29,27,22,"94.2","0"
"100109",2019-11-30,28,22.2,"91.3","18"
"100109",2019-12-01,32.2,23.6,"88.7","56.4"
"100109",2019-12-02,27.4,21.2,"93.6","32.8"
"100109",2019-12-03,29,22.5,"91.4","0"
"100109",2019-12-04,30.6,23.4,"94.4","0"
"100109",2019-12-05,31.6,24,"91.7","0"
"100109",2019-12-06,31.2,23.2,"93","21.8"
"100109",2019-12-07,32.2,23.2,"90.5","0"
"100109",2019-12-08,32,24.2,"92.7","5"
"100109",2019-12-09,29.6,24.4,"97.3","13.4"
"100109",2019-12-10,29.6,23,"96.3","7.6"
"100109",2019-12-11,28.6,23.6,"94.9","0"
"100109",2019-12-12,32,23.4,"93.1","0"
"100109",2019-12-13,26.8,23.5,"97.3","0"
"100109",2019-12-14,32.2,23,"92.1","0"
"100109",2019-12-15,29,23.2,"91","0"
"100109",2019-12-16,31.2,23,"94.4","6.4"
"100109",2019-12-17,32.6,23.8,"94.6","44.8"
"100109",2019-12-18,24,21.6,"97.2","12.8"
"100109",2019-12-19,29.2,21.6,"94.8","0"
"100109",2019-12-20,32.4,23.4,"93","0"
"100109",2019-12-21,29,23.2,"94.9","26.4"
"100109",2019-12-22,27.4,21.6,"95.8","55.2"
"100109",2019-12-23,25,22.2,"96.2","17.6"
"100109",2019-12-24,32,22.8,"93.2","0"
"100109",2019-12-25,32,23.2,"90.6","0"
"100109",2019-12-26,29,24,"93.4","2.3"
"100109",2019-12-27,32.2,24.2,"93.9","12.4"
"100109",2019-12-28,25,23.8,"98.3","67"
"100109",2019-12-29,32,23.2,"92.7","0"
"100109",2019-12-30,31.4,22.6,"90.7","0"
"100109",2019-12-31,26.4,24.5,"95.8","3.6"
"100109",2020-01-01,29.2,23,"93.6","26.2"
"100109",2020-01-02,25,22.4,"96.2","32.6"
"100109",2020-01-03,32.6,22.4,"91.9","8.6"
"100109",2020-01-04,33,22.5,"92.3","12.2"
"100109",2020-01-05,29.2,23.4,"94.9","0"
"100109",2020-01-06,31.2,24,"94.9","7.8"
"100109",2020-01-07,32,24.5,"92.6","0"
"100109",2020-01-08,33.2,25,"93.7","0"
"100109",2020-01-09,33.4,25,"94.1","0"
"100109",2020-01-10,33.6,23.5,"91.9","0"
"100109",2020-01-11,36,24.5,"92.2","0"
"100109",2020-01-12,35,24,"92.1","70.6"
"100109",2020-01-13,26,22.4,"96.8","12.8"
"100109",2020-01-14,28.2,22.4,"94.8","0"
"100109",2020-01-15,30.8,23.6,"95.4","25.6"
"100109",2020-01-16,33.6,22,"94.7","0"
"100109",2020-01-17,29.8,22,"93.5","52"
"100109",2020-01-18,33.6,22.4,"92.9","0"
"100109",2020-01-19,35.6,25,"91.7","0"
"100109",2020-01-20,36,24.6,"93","0"
"100109",2020-01-21,29.2,25,"95.8","10.2"
