ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-07-26,426,15,0
EC-B,Ecuador,Bolivar,2020-07-26,125,10,0
EC-F,Ecuador,Canar,2020-07-26,285,9,0
EC-C,Ecuador,Carchi,2020-07-26,30,1,0
EC-H,Ecuador,Chimborazo,2020-07-26,164,17,0
EC-X,Ecuador,Cotopaxi,2020-07-26,49,5,0
EC-O,Ecuador,El Oro,2020-07-26,10200,433,0
EC-E,Ecuador,Esmeraldas,2020-07-26,157,31,0
EC-W,Ecuador,Galapagos,2020-07-26,81,9,0
EC-G,Ecuador,Guayas,2020-07-26,223,11,0
EC-I,Ecuador,Imbabura,2020-07-26,554,59,0
EC-L,Ecuador,Loja,2020-07-26,19,2,0
EC-R,Ecuador,Los Rios,2020-07-26,448,69,0
EC-M,Ecuador,Manabi,2020-07-26,1298,64,0
EC-S,Ecuador,Morona Santiago,2020-07-26,665,31,0
EC-N,Ecuador,Napo,2020-07-26,61,1,0
EC-D,Ecuador,Orellana,2020-07-26,179,20,0
EC-Y,Ecuador,Pastaza,2020-07-26,347,46,0
EC-P,Ecuador,Pichincha,2020-07-26,145,12,0
EC-SE,Ecuador,Santa Elena,2020-07-26,39,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-07-26,60,1,0
EC-U,Ecuador,Sucumbios,2020-07-26,87,19,0
EC-T,Ecuador,Tungurahua,2020-07-26,43,3,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-07-26,43,2,0
