ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-09-28,6815,124,0
EC-B,Ecuador,Bolivar,2020-09-28,1550,59,0
EC-F,Ecuador,Canar,2020-09-28,1604,62,0
EC-C,Ecuador,Carchi,2020-09-28,1655,41,0
EC-H,Ecuador,Chimborazo,2020-09-28,3609,201,0
EC-X,Ecuador,Cotopaxi,2020-09-28,2124,67,0
EC-O,Ecuador,El Oro,2020-09-28,19324,1693,0
EC-E,Ecuador,Esmeraldas,2020-09-28,2121,281,0
EC-W,Ecuador,Galapagos,2020-09-28,3242,101,0
EC-G,Ecuador,Guayas,2020-09-28,4856,176,0
EC-I,Ecuador,Imbabura,2020-09-28,9049,906,0
EC-L,Ecuador,Loja,2020-09-28,1188,62,0
EC-R,Ecuador,Los Rios,2020-09-28,4877,381,0
EC-M,Ecuador,Manabi,2020-09-28,26122,1161,0
EC-S,Ecuador,Morona Santiago,2020-09-28,3367,326,0
EC-N,Ecuador,Napo,2020-09-28,2529,19,0
EC-D,Ecuador,Orellana,2020-09-28,4656,332,0
EC-Y,Ecuador,Pastaza,2020-09-28,1380,358,0
EC-P,Ecuador,Pichincha,2020-09-28,3863,233,0
EC-SE,Ecuador,Santa Elena,2020-09-28,2397,88,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-09-28,178,1,0
EC-U,Ecuador,Sucumbios,2020-09-28,3312,208,0
EC-T,Ecuador,Tungurahua,2020-09-28,1997,48,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-09-28,1391,43,0
