ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-05-10,1447,41,
BR-AL,Brazil,Alagoas,2020-05-10,2258,126,
BR-AP,Brazil,Amapa,2020-05-10,2613,72,
BR-AM,Brazil,Amazonas,2020-05-10,12599,1004,
BR-BA,Brazil,Bahia,2020-05-10,5558,202,
BR-CE,Brazil,Ceara,2020-05-10,16692,1114,
BR-DF,Brazil,Distrito Federal,2020-05-10,2682,42,
BR-ES,Brazil,Espiritu Santo,2020-05-10,4599,181,
BR-GO,Brazil,Goias,2020-05-10,1093,47,
BR-MA,Brazil,Maranhao,2020-05-10,7599,379,
BR-MT,Brazil,Mato Grosso,2020-05-10,519,18,
BR-MS,Brazil,Mato Grosso do Sul,2020-05-10,362,11,
BR-MG,Brazil,Minas Gerais,2020-05-10,3237,119,
BR-PA,Brazil,Para,2020-05-10,7256,652,
BR-PB,Brazil,Paraiba,2020-05-10,2341,135,
BR-PR,Brazil,Parana,2020-05-10,1835,109,
BR-PE,Brazil,Pernambuco,2020-05-10,13275,1047,
BR-PI,Brazil,Piaui,2020-05-10,1278,42,
BR-RJ,Brazil,Rio de Janeiro,2020-05-10,17062,1714,
BR-RN,Brazil,Rio Grande do Norte,2020-05-10,1928,88,
BR-RS,Brazil,Rio Grande do Sul,2020-05-10,2542,97,
BR-RO,Brazil,Rondonia,2020-05-10,1302,43,
BR-RR,Brazil,Roraima,2020-05-10,1290,21,
BR-SC,Brazil,Santa Catarina,2020-05-10,3429,65,
BR-SP,Brazil,Sao Paulo,2020-05-10,45444,3709,
BR-SE,Brazil,Sergipe,2020-05-10,1771,34,
BR-TO,Brazil,Tocantins,2020-05-10,688,11,
