ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-04-25,258,11,
BR-AL,Brazil,Alagoas,2020-04-25,501,29,
BR-AP,Brazil,Amapa,2020-04-25,685,19,
BR-AM,Brazil,Amazonas,2020-04-25,3635,287,
BR-BA,Brazil,Bahia,2020-04-25,2081,70,
BR-CE,Brazil,Ceara,2020-04-25,5421,310,
BR-DF,Brazil,Distrito Federal,2020-04-25,1013,26,
BR-ES,Brazil,Espiritu Santo,2020-04-25,1595,47,
BR-GO,Brazil,Goias,2020-04-25,506,25,
BR-MA,Brazil,Maranhao,2020-04-25,2105,100,
BR-MT,Brazil,Mato Grosso,2020-04-25,247,9,
BR-MS,Brazil,Mato Grosso do Sul,2020-04-25,217,7,
BR-MG,Brazil,Minas Gerais,2020-04-25,1481,58,
BR-PA,Brazil,Para,2020-04-25,1579,86,
BR-PB,Brazil,Paraiba,2020-04-25,447,46,
BR-PR,Brazil,Parana,2020-04-25,1140,69,
BR-PE,Brazil,Pernambuco,2020-04-25,4507,381,
BR-PI,Brazil,Piaui,2020-04-25,297,17,
BR-RJ,Brazil,Rio de Janeiro,2020-04-25,6828,615,
BR-RN,Brazil,Rio Grande do Norte,2020-04-25,781,40,
BR-RS,Brazil,Rio Grande do Sul,2020-04-25,1096,34,
BR-RO,Brazil,Rondonia,2020-04-25,328,7,
BR-RR,Brazil,Roraima,2020-04-25,345,3,
BR-SC,Brazil,Santa Catarina,2020-04-25,1209,42,
BR-SP,Brazil,Sao Paulo,2020-04-25,20004,1667,
BR-SE,Brazil,Sergipe,2020-04-25,153,9,
BR-TO,Brazil,Tocantins,2020-04-25,50,2,
