ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-06-18,10664,287,
BR-AL,Brazil,Alagoas,2020-06-18,25633,831,
BR-AP,Brazil,Amapa,2020-06-18,19387,342,
BR-AM,Brazil,Amazonas,2020-06-18,60736,2605,
BR-BA,Brazil,Bahia,2020-06-18,41577,1263,
BR-CE,Brazil,Ceara,2020-06-18,87273,5377,
BR-DF,Brazil,Distrito Federal,2020-06-18,28521,379,
BR-ES,Brazil,Espiritu Santo,2020-06-18,31671,1217,
BR-GO,Brazil,Goias,2020-06-18,13304,264,
BR-MA,Brazil,Maranhao,2020-06-18,66091,1607,
BR-MT,Brazil,Mato Grosso,2020-06-18,7512,281,
BR-MS,Brazil,Mato Grosso do Sul,2020-06-18,4274,39,
BR-MG,Brazil,Minas Gerais,2020-06-18,24906,570,
BR-PA,Brazil,Para,2020-06-18,76623,4395,
BR-PB,Brazil,Paraiba,2020-06-18,31760,709,
BR-PR,Brazil,Parana,2020-06-18,11919,406,
BR-PE,Brazil,Pernambuco,2020-06-18,48626,4057,
BR-PI,Brazil,Piaui,2020-06-18,12099,421,
BR-RJ,Brazil,Rio de Janeiro,2020-06-18,87317,8412,
BR-RN,Brazil,Rio Grande do Norte,2020-06-18,15889,655,
BR-RS,Brazil,Rio Grande do Sul,2020-06-18,17822,406,
BR-RO,Brazil,Rondonia,2020-06-18,13804,374,
BR-RR,Brazil,Roraima,2020-06-18,7421,231,
BR-SC,Brazil,Santa Catarina,2020-06-18,15573,222,
BR-SP,Brazil,Sao Paulo,2020-06-18,192628,11846,
BR-SE,Brazil,Sergipe,2020-06-18,17338,400,
BR-TO,Brazil,Tocantins,2020-06-18,7774,152,
