ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-04-25,258,11,0
BR-AL,Brazil,Alagoas,2020-04-25,501,29,0
BR-AP,Brazil,Amapa,2020-04-25,685,19,0
BR-AM,Brazil,Amazonas,2020-04-25,3635,287,0
BR-BA,Brazil,Bahia,2020-04-25,2081,70,0
BR-CE,Brazil,Ceara,2020-04-25,5421,310,0
BR-DF,Brazil,Distrito Federal,2020-04-25,1013,26,0
BR-ES,Brazil,Espiritu Santo,2020-04-25,0,0,0
BR-GO,Brazil,Goias,2020-04-25,506,25,0
BR-MA,Brazil,Maranhao,2020-04-25,2105,100,0
BR-MT,Brazil,Mato Grosso,2020-04-25,247,9,0
BR-MS,Brazil,Mato Grosso do Sul,2020-04-25,217,7,0
BR-MG,Brazil,Minas Gerais,2020-04-25,1481,58,0
BR-PA,Brazil,Para,2020-04-25,1579,86,0
BR-PB,Brazil,Paraiba,2020-04-25,447,46,0
BR-PR,Brazil,Parana,2020-04-25,1140,69,0
BR-PE,Brazil,Pernambuco,2020-04-25,4507,381,0
BR-PI,Brazil,Piaui,2020-04-25,297,17,0
BR-RN,Brazil,Rio Grande do Norte,2020-04-25,781,40,0
BR-RS,Brazil,Rio Grande do Sul,2020-04-25,1096,34,0
BR-RJ,Brazil,Rio de Janeiro,2020-04-25,6828,615,0
BR-RO,Brazil,Rondonia,2020-04-25,328,7,0
BR-RR,Brazil,Roraima,2020-04-25,345,3,0
BR-SC,Brazil,Santa Catarina,2020-04-25,1209,42,0
BR-SP,Brazil,Sao Paulo,2020-04-25,20004,1667,0
BR-SE,Brazil,Sergipe,2020-04-25,153,9,0
BR-TO,Brazil,Tocantins,2020-04-25,50,2,0
