ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-08-20,23322,595,
BR-AL,Brazil,Alagoas,2020-08-20,74622,1793,
BR-AP,Brazil,Amapa,2020-08-20,40603,626,
BR-AM,Brazil,Amazonas,2020-08-20,114335,3551,
BR-BA,Brazil,Bahia,2020-08-20,228596,4685,
BR-CE,Brazil,Ceara,2020-08-20,202422,8245,
BR-DF,Brazil,Distrito Federal,2020-08-20,143759,2200,
BR-ES,Brazil,Espiritu Santo,2020-08-20,104037,2980,
BR-GO,Brazil,Goias,2020-08-20,111836,2558,
BR-MA,Brazil,Maranhao,2020-08-20,141860,3315,
BR-MT,Brazil,Mato Grosso,2020-08-20,78733,2457,
BR-MS,Brazil,Mato Grosso do Sul,2020-08-20,40201,686,
BR-MG,Brazil,Minas Gerais,2020-08-20,185062,4543,
BR-PA,Brazil,Para,2020-08-20,184253,6027,
BR-PB,Brazil,Paraiba,2020-08-20,99445,2244,
BR-PR,Brazil,Parana,2020-08-20,112245,2891,
BR-PE,Brazil,Pernambuco,2020-08-20,116359,7303,
BR-PI,Brazil,Piaui,2020-08-20,69839,1660,
BR-RJ,Brazil,Rio de Janeiro,2020-08-20,205916,15074,
BR-RN,Brazil,Rio Grande do Norte,2020-08-20,59138,2133,
BR-RS,Brazil,Rio Grande do Sul,2020-08-20,104068,2948,
BR-RO,Brazil,Rondonia,2020-08-20,50147,1045,
BR-RR,Brazil,Roraima,2020-08-20,40989,576,
BR-SC,Brazil,Santa Catarina,2020-08-20,129072,1960,
BR-SP,Brazil,Sao Paulo,2020-08-20,730828,27905,
BR-SE,Brazil,Sergipe,2020-08-20,69502,1757,
BR-TO,Brazil,Tocantins,2020-08-20,40786,547,
