ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BR-AC,Brazil,Acre,2020-06-26,12644,343,
BR-AL,Brazil,Alagoas,2020-06-26,32864,975,
BR-AP,Brazil,Amapa,2020-06-26,27662,401,
BR-AM,Brazil,Amazonas,2020-06-26,68220,2739,
BR-BA,Brazil,Bahia,2020-06-26,56422,1642,
BR-CE,Brazil,Ceara,2020-06-26,104422,5920,
BR-DF,Brazil,Distrito Federal,2020-06-26,41326,532,
BR-ES,Brazil,Espiritu Santo,2020-06-26,41652,1507,
BR-GO,Brazil,Goias,2020-06-26,20863,409,
BR-MA,Brazil,Maranhao,2020-06-26,76698,1906,
BR-MT,Brazil,Mato Grosso,2020-06-26,13026,480,
BR-MS,Brazil,Mato Grosso do Sul,2020-06-26,6913,65,
BR-MG,Brazil,Minas Gerais,2020-06-26,38891,833,
BR-PA,Brazil,Para,2020-06-26,96472,4803,
BR-PB,Brazil,Paraiba,2020-06-26,42832,864,
BR-PR,Brazil,Parana,2020-06-26,18672,564,
BR-PE,Brazil,Pernambuco,2020-06-26,55804,4610,
BR-PI,Brazil,Piaui,2020-06-26,18023,574,
BR-RJ,Brazil,Rio de Janeiro,2020-06-26,108497,9587,
BR-RN,Brazil,Rio Grande do Norte,2020-06-26,23731,889,
BR-RS,Brazil,Rio Grande do Sul,2020-06-26,24114,540,
BR-RO,Brazil,Rondonia,2020-06-26,19271,476,
BR-RR,Brazil,Roraima,2020-06-26,12911,273,
BR-SC,Brazil,Santa Catarina,2020-06-26,22947,298,
BR-SP,Brazil,Sao Paulo,2020-06-26,258508,13966,
BR-SE,Brazil,Sergipe,2020-06-26,21908,579,
BR-TO,Brazil,Tocantins,2020-06-26,9681,186,
