ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
BO-B,Bolivia,Beni,,5971,321,757
BO-H,Bolivia,Chuquisaca,,3985,309,1014
BO-C,Bolivia,Cochabamba,,11411,839,5316
BO-L,Bolivia,La Paz,,26052,483,2085
BO-O,Bolivia,Oruro,,4283,249,837
BO-N,Bolivia,Pando,,1968,143,301
BO-P,Bolivia,Potosi,,3291,159,475
BO-S,Bolivia,Santa Cruz,,38511,1479,25493
BO-T,Bolivia,Tarija,,5751,141,1193
