ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
HN-AT,Atlántida,Honduras,2020-05-07,46,4,14
HN-CH,Choluteca,Honduras,2020-05-07,8,0,0
HN-CL,Colón,Honduras,2020-05-07,33,1,7
HN-CM,Comayagua,Honduras,2020-05-07,8,1,0
HN-CP,Copán,Honduras,2020-05-07,1,0,0
HN-CR,Cortés,Honduras,2020-05-07,1047,84,35
HN-EP,El Paraíso,Honduras,2020-05-07,3,0,0
HN-FM,Francisco Morazán,Honduras,2020-05-07,229,2,42
HN-IN,Intibucá,Honduras,2020-05-07,7,1,0
HN-LP,La Paz,Honduras,2020-05-07,2,0,2
HN-LM,Lempira,Honduras,2020-05-07,6,1,0
HN-OC,Ocotepeque,Honduras,2020-05-07,1,0,0
HN-OL,Olancho,Honduras,2020-05-07,1,0,0
HN-SB,Santa Bárbara,Honduras,2020-05-07,13,2,2
HN-VA,Valle,Honduras,2020-05-07,9,0,1
HN-YO,Yoro,Honduras,2020-05-07,47,3,0
