ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
HN-AT,Atlántida,Honduras,2020-04-15,18,2,2
HN-CH,Choluteca,Honduras,2020-04-15,2,0,0
HN-CL,Colón,Honduras,2020-04-15,28,1,0
HN-CM,Comayagua,Honduras,2020-04-15,2,0,0
HN-CP,Copán,Honduras,2020-04-15,1,0,0
HN-CR,Cortés,Honduras,2020-04-15,285,22,0
HN-FM,Francisco Morazán,Honduras,2020-04-15,58,2,5
HN-LP,La Paz,Honduras,2020-04-15,2,0,0
HN-LM,Lempira,Honduras,2020-04-15,5,1,0
HN-SB,Santa Bárbara,Honduras,2020-04-15,9,0,0
HN-YO,Yoro,Honduras,2020-04-15,9,3,0
