ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
HN-AT,Atlántida,Honduras,2020-05-12,51,4,15
HN-CH,Choluteca,Honduras,2020-05-12,25,0,1
HN-CL,Colón,Honduras,2020-05-12,42,1,13
HN-CM,Comayagua,Honduras,2020-05-12,16,1,1
HN-CP,Copán,Honduras,2020-05-12,4,0,0
HN-CR,Cortés,Honduras,2020-05-12,1474,96,80
HN-EP,El Paraíso,Honduras,2020-05-12,5,0,0
HN-FM,Francisco Morazán,Honduras,2020-05-12,340,6,54
HN-IN,Intibucá,Honduras,2020-05-12,9,1,0
HN-LP,La Paz,Honduras,2020-05-12,2,0,2
HN-LM,Lempira,Honduras,2020-05-12,7,1,0
HN-OC,Ocotepeque,Honduras,2020-05-12,1,0,1
HN-OL,Olancho,Honduras,2020-05-12,2,0,1
HN-SB,Santa Bárbara,Honduras,2020-05-12,13,2,2
HN-VA,Valle,Honduras,2020-05-12,21,0,1
HN-YO,Yoro,Honduras,2020-05-12,88,4,5
