ISO 3166-2 Code,Subdivision,Country,Last Update,Confirmed,Death,Recovered
HN-AT,Atlántida,Honduras,2020-05-10,51,4,15
HN-CH,Choluteca,Honduras,2020-05-10,16,0,1
HN-CL,Colón,Honduras,2020-05-10,42,1,12
HN-CM,Comayagua,Honduras,2020-05-10,10,1,1
HN-CP,Copán,Honduras,2020-05-10,4,0,0
HN-CR,Cortés,Honduras,2020-05-10,1309,91,74
HN-EP,El Paraíso,Honduras,2020-05-10,5,0,0
HN-FM,Francisco Morazán,Honduras,2020-05-10,280,4,54
HN-IN,Intibucá,Honduras,2020-05-10,9,1,0
HN-LP,La Paz,Honduras,2020-05-10,2,0,2
HN-LM,Lempira,Honduras,2020-05-10,6,1,0
HN-OC,Ocotepeque,Honduras,2020-05-10,1,0,1
HN-OL,Olancho,Honduras,2020-05-10,1,0,0
HN-SB,Santa Bárbara,Honduras,2020-05-10,13,2,2
HN-VA,Valle,Honduras,2020-05-10,16,0,1
HN-YO,Yoro,Honduras,2020-05-10,65,3,2
