ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
PE-AMA,Peru,Amazonas,2020-10-03,12119,202,0
PE-ANC,Peru,Ancash,2020-10-03,19857,1217,0
PE-APU,Peru,Apurimac,2020-10-03,3718,75,0
PE-ARE,Peru,Arequipa,2020-10-03,36590,1229,0
PE-AYA,Peru,Ayacucho,2020-10-03,9453,281,0
PE-CAJ,Peru,Cajamarca,2020-10-03,17054,416,0
PE-CAL,Peru,Callao,2020-10-03,29229,1636,0
PE-CUS,Peru,Cusco,2020-10-03,17568,363,0
PE-HUV,Peru,Huancavelica,2020-10-03,5410,93,0
PE-HUC,Peru,Huanuco,2020-10-03,13674,354,0
PE-ICA,Peru,Ica,2020-10-03,23476,1503,0
PE-JUN,Peru,Junin,2020-10-03,16716,700,0
PE-LAL,Peru,La Libertad,2020-10-03,24461,2115,0
PE-LAM,Peru,Lambayeque,2020-10-03,23395,1626,0
PE-LIM,Peru,Lima,2020-10-03,331544,13559,0
PE-LOR,Peru,Loreto,2020-10-03,16906,934,0
PE-MDD,Peru,Madre de dios,2020-10-03,6665,132,0
PE-MOQ,Peru,Moquegua,2020-10-03,10077,241,0
PE-PAS,Peru,Pasco,2020-10-03,4316,93,0
PE-PIU,Peru,Piura,2020-10-03,31579,1871,0
PE-PUN,Peru,Puno,2020-10-03,10257,266,0
PE-SAM,Peru,San Martin,2020-10-03,14999,672,0
PE-TAC,Peru,Tacna,2020-10-03,10120,174,0
PE-TUM,Peru,Tumbes,2020-10-03,6124,287,0
PE-UCA,Peru,Ucayali,2020-10-03,14760,305,0
