"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"100044",2019-11-01,17.4,8.6,"72.4","3.8"
"100044",2019-11-02,23.8,4.7,"68","0"
"100044",2019-11-03,21.2,4.8,"76.7","5.5"
"100044",2019-11-04,21.8,7.4,"72.8","10.2"
"100044",2019-11-05,21,8.5,"80.5","10.3"
"100044",2019-11-06,20.5,7.2,"74.7","6.7"
"100044",2019-11-07,18.6,9.6,"83.1","0"
"100044",2019-11-08,17.6,9.8,"72.1","0.7"
"100044",2019-11-09,21.8,7.5,"70.7","1"
"100044",2019-11-10,21.6,9,"70.2","25.6"
"100044",2019-11-11,15.7,6.5,"88.7","1.4"
"100044",2019-11-12,18.8,8.6,"82.9","1.1"
"100044",2019-11-13,21.8,5.6,"82.3","2"
"100044",2019-11-14,23.6,7.6,"78.8","7.1"
"100044",2019-11-15,18.8,9.5,"80.8","2.8"
"100044",2019-11-16,21.2,8.6,"77.3","0"
"100044",2019-11-17,18.4,8.6,"84.3","11"
"100044",2019-11-18,19.5,7.5,"80.5","1.1"
"100044",2019-11-19,21.6,7,"66.5","0.6"
"100044",2019-11-20,22,9,"67.3","5.4"
"100044",2019-11-21,22.8,8,"67.3","4.2"
"100044",2019-11-22,21.4,8,"70.4","0.1"
"100044",2019-11-23,19.5,7.5,"82.2","6.3"
"100044",2019-11-24,18.2,9.4,"78.5","0"
"100044",2019-11-25,21.8,4.7,"64.7","0"
"100044",2019-11-26,22.6,4.5,"69.6","1.8"
"100044",2019-11-27,24.2,7.4,"66.2","3"
"100044",2019-11-28,23,7.4,"69.9","0"
"100044",2019-11-29,23.5,6.6,"66.3","0"
"100044",2019-11-30,24.6,6,"66.9","0"
"100044",2019-12-01,22.8,4.5,"66.6","4.3"
"100044",2019-12-02,21.4,9,"76.9","12"
"100044",2019-12-03,20.5,8.2,"78","2.3"
"100044",2019-12-04,19.8,6.8,"80.2","13.8"
"100044",2019-12-05,19.5,8.5,"76.4","6"
"100044",2019-12-06,21.8,9,"72.7","8.3"
"100044",2019-12-07,17.8,7.3,"79.6","5.7"
"100044",2019-12-08,20,7.2,"78.8","0"
"100044",2019-12-09,21.6,6.8,"75.1","0"
"100044",2019-12-10,22,8.8,"65.5","0.2"
"100044",2019-12-11,21.8,7.5,"74.4","0"
"100044",2019-12-12,22.2,6.2,"66.6","1.5"
"100044",2019-12-13,18,4.6,"77","0.6"
"100044",2019-12-14,20.4,7,"72.8","6"
"100044",2019-12-15,20.2,9.8,"71.3","0.7"
"100044",2019-12-16,21.5,6.1,"79.2","7.5"
"100044",2019-12-17,21.9,5.8,"71","2.6"
"100044",2019-12-18,18,10,"78.5","2.5"
"100044",2019-12-19,17,8.1,"77.9","5.6"
"100044",2019-12-20,21.4,8.8,"75.3","17.8"
"100044",2019-12-21,21,7.4,"69.9","9.6"
"100044",2019-12-22,22.1,7.4,"72.6","0.3"
"100044",2019-12-23,18,10.5,"73.5","4.2"
"100044",2019-12-24,16.2,9,"79.8","1.8"
