"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"113029",2020-02-25,22.6,12.2,"91.6","14.2"
"113029",2020-02-26,21,11.8,"89.6","0"
"113029",2020-02-27,23.6,12.2,"88.7","2"
"113029",2020-02-28,23.2,13,"91.7","2.2"
"113029",2020-02-29,23.4,12.2,"86.7","0"
"113029",2020-03-01,21,12.6,"89.8","0"
"113029",2020-03-02,24.4,11.2,"85.4","0"
"113029",2020-03-03,24.6,12.4,"85","0.8"
"113029",2020-03-04,24,13.2,"86.8","14.2"
"113029",2020-03-05,23.6,11.2,"81.8","0"
"113029",2020-03-06,22.8,12.4,"85.3","0.6"
"113029",2020-03-07,24.4,12.2,"78.1","2.8"
"113029",2020-03-08,24.2,11.2,"84.1","0"
"113029",2020-03-09,25.4,11.8,"80.8","0"
"113029",2020-03-10,25.2,11.6,"81","5.2"
"113029",2020-03-11,24.2,10.2,"85","0"
"113029",2020-03-12,24,12.6,"87.2","0"
"113029",2020-03-13,22.2,12.2,"83.9","10.7"
"113029",2020-03-14,22.8,11.2,"90.4","0.5"
"113029",2020-03-15,22.2,12.2,"88.4","8.2"
"113029",2020-03-16,22.4,12,"88","7.4"
"113029",2020-03-17,22.6,11.2,"81.3","0"
"113029",2020-03-18,22,12,"88.3","0"
"113029",2020-03-19,S/D,13.2,"S/D","0"
