ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-19,221100,4098,0
AR-K,Argentina,Catamarca,2020-05-19,1302,0,0
AR-H,Argentina,Chaco,2020-05-19,26082,492,0
AR-U,Argentina,Chubut,2020-05-19,1746,72,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-19,116220,2226,0
AR-X,Argentina,Cordoba,2020-05-19,65856,252,0
AR-W,Argentina,Corrientes,2020-05-19,10644,12,0
AR-E,Argentina,Entre Rios,2020-05-19,5448,270,0
AR-P,Argentina,Formosa,2020-05-19,2868,0,0
AR-Y,Argentina,Jujuy,2020-05-19,8604,0,0
AR-L,Argentina,La Pampa,2020-05-19,1122,60,0
AR-F,Argentina,La Rioja,2020-05-19,5556,84,0
AR-M,Argentina,Mendoza,2020-05-19,9246,204,0
AR-N,Argentina,Misiones,2020-05-19,4752,48,0
AR-Q,Argentina,Neuquen,2020-05-19,8016,60,0
AR-R,Argentina,Rio Negro,2020-05-19,12240,132,0
AR-A,Argentina,Salta,2020-05-19,6264,30,0
AR-J,Argentina,San Juan,2020-05-19,2766,0,0
AR-D,Argentina,San Luis,2020-05-19,1686,6,0
AR-Z,Argentina,Santa Cruz,2020-05-19,2496,6,0
AR-S,Argentina,Santa Fe,2020-05-19,41280,180,0
AR-G,Argentina,Santiago del Estero,2020-05-19,3594,30,0
AR-V,Argentina,Tierra del Fuego,2020-05-19,7512,30,0
AR-T,Argentina,Tucuman,2020-05-19,17808,54,0
