ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-05-19,239438,4358,0
AR-K,Argentina,Catamarca,2020-05-19,1389,0,0
AR-H,Argentina,Chaco,2020-05-19,28013,543,0
AR-U,Argentina,Chubut,2020-05-19,1874,79,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-05-19,126311,2370,0
AR-X,Argentina,Cordoba,2020-05-19,70583,272,0
AR-W,Argentina,Corrientes,2020-05-19,11381,0,0
AR-E,Argentina,Entre Rios,2020-05-19,5835,282,0
AR-P,Argentina,Formosa,2020-05-19,3214,0,0
AR-Y,Argentina,Jujuy,2020-05-19,9118,0,0
AR-L,Argentina,La Pampa,2020-05-19,1186,65,0
AR-F,Argentina,La Rioja,2020-05-19,6006,87,0
AR-M,Argentina,Mendoza,2020-05-19,9765,213,0
AR-N,Argentina,Misiones,2020-05-19,5203,0,0
AR-Q,Argentina,Neuquen,2020-05-19,8489,61,0
AR-R,Argentina,Rio Negro,2020-05-19,13130,142,0
AR-A,Argentina,Salta,2020-05-19,7083,32,0
AR-J,Argentina,San Juan,2020-05-19,2975,0,0
AR-D,Argentina,San Luis,2020-05-19,1813,0,0
AR-Z,Argentina,Santa Cruz,2020-05-19,2603,0,0
AR-S,Argentina,Santa Fe,2020-05-19,43813,190,0
AR-G,Argentina,Santiago del Estero,2020-05-19,3988,31,0
AR-V,Argentina,Tierra del Fuego,2020-05-19,7934,32,0
AR-T,Argentina,Tucuman,2020-05-19,19477,0,0
