ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-15,83643,1233,0
AR-K,Argentina,Catamarca,2020-06-15,487,0,0
AR-H,Argentina,Chaco,2020-06-15,8453,148,0
AR-U,Argentina,Chubut,2020-06-15,691,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-15,49339,675,0
AR-X,Argentina,Cordoba,2020-06-15,16194,58,0
AR-W,Argentina,Corrientes,2020-06-15,2956,6,0
AR-E,Argentina,Entre Rios,2020-06-15,1653,0,0
AR-P,Argentina,Formosa,2020-06-15,731,0,0
AR-Y,Argentina,Jujuy,2020-06-15,2232,0,0
AR-L,Argentina,La Pampa,2020-06-15,287,0,0
AR-F,Argentina,La Rioja,2020-06-15,1456,0,0
AR-M,Argentina,Mendoza,2020-06-15,2223,0,0
AR-N,Argentina,Misiones,2020-06-15,1249,0,0
AR-Q,Argentina,Neuquen,2020-06-15,1791,0,0
AR-R,Argentina,Rio Negro,2020-06-15,2908,0,0
AR-A,Argentina,Salta,2020-06-15,773,0,0
AR-J,Argentina,San Juan,,0,0,0
AR-D,Argentina,San Luis,,0,0,0
AR-Z,Argentina,Santa Cruz,2020-06-15,539,0,0
AR-S,Argentina,Santa Fe,2020-06-15,10950,0,0
AR-G,Argentina,Santiago del Estero,2020-06-15,2120,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-15,1557,0,0
AR-T,Argentina,Tucuman,2020-06-15,5882,0,0
