"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"113022",2019-11-01,23.8,10.4,"73.5","0"
"113022",2019-11-02,25.6,9,"72.6","0.9"
"113022",2019-11-03,24.4,9.4,"82.8","1.7"
"113022",2019-11-04,24.2,9,"75.8","1.8"
"113022",2019-11-05,19.8,11.2,"82.9","0"
"113022",2019-11-06,23.6,10.4,"82.4","0.4"
"113022",2019-11-07,21.4,9,"79.7","0.3"
"113022",2019-11-08,24.8,11,"85.1","8.4"
"113022",2019-11-09,23.8,8.6,"82.1","3.3"
"113022",2019-11-10,23.4,10.4,"76.4","0"
"113022",2019-11-11,20.2,10,"84.8","1.6"
"113022",2019-11-12,23.8,8.2,"83.5","0.2"
"113022",2019-11-13,26,9.2,"73","0.9"
"113022",2019-11-14,24.8,9.6,"67","0"
"113022",2019-11-15,27.6,9.2,"70.5","1.6"
"113022",2019-11-16,26,10,"73.1","2"
"113022",2019-11-17,26,9,"67.6","1.4"
"113022",2019-11-18,26.4,10.8,"80.2","8.5"
"113022",2019-11-19,18.8,10,"83.7","1.6"
"113022",2019-11-20,21,10,"88.3","4.4"
"113022",2019-11-21,20.2,9.2,"88.5","0.9"
"113022",2019-11-22,23.6,8.2,"80.2","5.2"
"113022",2019-11-23,23.8,8,"81.2","0.7"
"113022",2019-11-24,21.2,10.6,"86.4","10"
"113022",2019-11-25,22,9.4,"89.1","12.2"
"113022",2019-11-26,23.6,8.4,"79.7","3"
"113022",2019-11-27,25.4,8.4,"80.7","2.6"
"113022",2019-11-28,22,9.4,"84.3","1.5"
"113022",2019-11-29,26.4,8.4,"55.7","0"
"113022",2019-11-30,22.6,10.2,"64.5","0"
"113022",2019-12-01,23.6,10.4,"72.4","0"
"113022",2019-12-02,25,12.4,"76.6","2.8"
"113022",2019-12-03,21.8,10.4,"83.3","1.3"
"113022",2019-12-04,24.2,10.2,"81.3","33.6"
"113022",2019-12-05,21.2,9.6,"86.1","20.7"
"113022",2019-12-06,23,8.2,"83","7.5"
"113022",2019-12-07,22.8,9.2,"84","0"
"113022",2019-12-08,24.2,8.8,"65.4","0"
"113022",2019-12-09,24.6,9,"75.7","3.7"
"113022",2019-12-10,25.2,9.4,"64.2","0"
"113022",2019-12-11,22,9.6,"72","0"
"113022",2019-12-12,24.6,8,"72.6","21"
"113022",2019-12-13,22.6,8.6,"83.8","28.1"
"113022",2019-12-14,19.6,10,"87.9","2.2"
"113022",2019-12-15,20.4,10.4,"85.8","1.4"
"113022",2019-12-16,22.8,10,"84.6","27.4"
"113022",2019-12-17,22.6,8.2,"79.6","5"
"113022",2019-12-18,22,10,"87.4","8.5"
"113022",2019-12-19,19.6,9.8,"90.6","2"
"113022",2019-12-20,22,11,"84.8","7.6"
"113022",2019-12-21,21.2,9,"81.2","0"
"113022",2019-12-22,21.4,11,"85.9","12.3"
"113022",2019-12-23,21.2,8.8,"89.1","14.2"
"113022",2019-12-24,17.2,9.6,"94.5","6"
"113022",2019-12-25,21.4,9.6,"88.1","10.3"
"113022",2019-12-26,20.4,10.4,"81.8","0"
"113022",2019-12-27,24.8,9.6,"73.8","0.9"
"113022",2019-12-28,25.4,9.4,"75.8","12.7"
"113022",2019-12-29,25,9.6,"75.7","0"
"113022",2019-12-30,24.2,8.6,"64.9","0"
"113022",2019-12-31,25,7.2,"62.4","0"
"113022",2020-01-01,24.8,9.6,"84.3","3.1"
"113022",2020-01-02,19.4,9.4,"85.3","9.1"
"113022",2020-01-03,23,10.4,"82","0.5"
"113022",2020-01-04,23.2,9,"75.7","1.8"
"113022",2020-01-05,21,9,"73.3","0"
"113022",2020-01-06,23.2,7.4,"66.3","0"
"113022",2020-01-07,24.8,8.4,"64.3","0"
"113022",2020-01-08,25.4,4.8,"65.6","0"
"113022",2020-01-09,24.6,6.2,"70.4","0"
"113022",2020-01-10,21.4,7.2,"68.6","0"
"113022",2020-01-11,27,7.4,"81.9","0"
"113022",2020-01-12,24.2,7.8,"70.5","0"
"113022",2020-01-13,24.4,11,"79","5.8"
"113022",2020-01-14,17.4,11,"91.4","10.4"
"113022",2020-01-15,17,9,"89.4","0"
"113022",2020-01-16,19,10,"84.4","1.1"
"113022",2020-01-17,21.2,10.6,"83.8","0.9"
"113022",2020-01-18,18,10.8,"89","0"
"113022",2020-01-19,21,10.8,"80.5","2.5"
"113022",2020-01-20,22.4,11.2,"82.9","6"
"113022",2020-01-21,20.6,10.4,"88.5","7.5"
"113022",2020-01-22,17.6,10.2,"83.4","7.1"
"113022",2020-01-23,22,10,"87.6","6.2"
"113022",2020-01-24,20.2,10.4,"92.6","0"
"113022",2020-01-25,22.2,10,"83.3","5.1"
"113022",2020-01-26,24,8.8,"82.6","1.7"
"113022",2020-01-27,24.8,10.2,"72.5","0"
"113022",2020-01-28,24.4,8.8,"82.9","7.1"
"113022",2020-01-29,22.2,8.6,"85","0.5"
"113022",2020-01-30,23.2,10.4,"86.2","0"
"113022",2020-01-31,19.4,10.2,"82.4","0"
"113022",2020-02-01,21.4,11.4,"85.7","9.7"
"113022",2020-02-02,23.2,10.2,"86.7","9.9"
"113022",2020-02-03,21.8,5.8,"83.3","13"
"113022",2020-02-04,22.2,10.2,"86.4","0.5"
"113022",2020-02-05,23.6,8.6,"73.4","0"
"113022",2020-02-06,22.8,9.2,"85.5","10.2"
"113022",2020-02-07,20.8,11,"87.9","0.6"
"113022",2020-02-08,22.2,11.2,"89.3","5.8"
"113022",2020-02-09,16.2,10.2,"91.1","0"
"113022",2020-02-10,22,10.6,"86.2","2"
"113022",2020-02-11,21.4,11.4,"90","10.5"
"113022",2020-02-12,19.6,10.2,"88.8","5.4"
"113022",2020-02-13,18.8,9,"86.2","3"
"113022",2020-02-14,18.6,11,"89.8","7.2"
"113022",2020-02-15,20.2,10,"87.5","1.5"
"113022",2020-02-16,21.8,10.8,"83.5","0"
"113022",2020-02-17,21.4,8.8,"83","0.6"
"113022",2020-02-18,23.6,10,"88.3","7.9"
"113022",2020-02-19,23.8,7.6,"83.2","7.6"
"113022",2020-02-20,22.8,8.4,"85.4","18.3"
"113022",2020-02-21,15.2,8.8,"90.8","1.4"
"113022",2020-02-22,18.4,9.8,"91.2","3"
"113022",2020-02-23,22.4,11,"86.5","1.8"
"113022",2020-02-24,22.8,10.6,"80.2","0.7"
"113022",2020-02-25,23.8,9.8,"80.3","2.9"
"113022",2020-02-26,24.6,10.6,"87.5","0.4"
"113022",2020-02-27,23,10.4,"86.8","8.6"
"113022",2020-02-28,19.4,10,"91.8","0.9"
"113022",2020-02-29,20,11.6,"90.2","0.9"
"113022",2020-03-01,20,10.2,"90.8","19"
"113022",2020-03-02,21.8,10,"85.3","2.7"
"113022",2020-03-03,21.4,9.6,"74.6","0"
"113022",2020-03-04,22.8,9,"80.9","0"
"113022",2020-03-05,23.2,11,"82.6","0"
"113022",2020-03-06,20.8,10.2,"82.7","0"
"113022",2020-03-07,21.8,10.6,"85.9","4.4"
"113022",2020-03-08,22.4,10.2,"85.6","0"
"113022",2020-03-09,22,9.2,"83","0.9"
"113022",2020-03-10,23.2,7.2,"79.8","0"
"113022",2020-03-11,23.2,6.4,"73.2","0"
"113022",2020-03-12,20,6.8,"81.6","0"
"113022",2020-03-13,21.8,10.4,"78.6","0"
"113022",2020-03-14,22,10.2,"86.2","0"
"113022",2020-03-15,22.8,8.2,"81.6","0"
"113022",2020-03-16,20.4,10.8,"83.55","12.7"
"113022",2020-03-17,20.6,9.6,"85.5","0"
