"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"113010",2019-11-01,31.2,S/D,"62.1","0"
"113010",2019-11-02,30,S/D,"68.9","0"
"113010",2019-11-03,29,S/D,"71.8","0"
"113010",2019-11-04,28.8,S/D,"71.3","0"
"113010",2019-11-05,28.6,S/D,"79.3","0"
"113010",2019-11-06,30,S/D,"69.6","0"
"113010",2019-11-07,29.8,S/D,"64.4","0"
"113010",2019-11-08,29.6,S/D,"68.4","0"
"113010",2019-11-09,29.4,S/D,"65.5","0"
"113010",2019-11-10,27.6,S/D,"70.6","0"
"113010",2019-11-11,27.4,S/D,"73.1","0"
"113010",2019-11-12,28,S/D,"78.6","0"
"113010",2019-11-13,27.8,S/D,"77.2","0"
"113010",2019-11-14,26.4,S/D,"72.7","0"
"113010",2019-11-15,28.6,S/D,"69.5","0"
"113010",2019-11-16,28,S/D,"73.9","0"
"113010",2019-11-17,29,S/D,"76.9","0"
"113010",2019-11-18,27.6,S/D,"77.8","0"
"113010",2019-11-19,28.8,S/D,"71.5","0"
"113010",2019-11-20,28,S/D,"77","0"
"113010",2019-11-21,28.6,S/D,"79.5","0"
"113010",2019-11-22,27.2,S/D,"75.7","T"
"113010",2019-11-23,24,S/D,"83","T"
"113010",2019-11-24,29,S/D,"70.3","0"
"113010",2019-11-25,30,S/D,"70.8","0"
"113010",2019-11-26,30.8,S/D,"73.5","0"
"113010",2019-11-27,29,S/D,"74.8","0"
"113010",2019-11-28,28,S/D,"77.5","0"
"113010",2019-11-29,30,S/D,"71.9","0"
"113010",2019-11-30,31,S/D,"66.4","0"
"113010",2019-12-01,31.6,S/D,"69.2","0"
"113010",2019-12-02,30.8,S/D,"68","0"
"113010",2019-12-03,28.6,S/D,"82.3","0"
"113010",2019-12-04,28,S/D,"78.5","0"
"113010",2019-12-05,30.6,S/D,"70.6","0"
"113010",2019-12-06,30.2,S/D,"70.4","0"
"113010",2019-12-07,28.2,S/D,"74.9","0"
