"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"105067",2020-02-29,29,20,"73.7","0"
"105067",2020-03-01,28.6,20.8,"76","15"
"105067",2020-03-02,31,19,"73.9","0"
"105067",2020-03-03,31.2,21.6,"74.7","0"
"105067",2020-03-04,29,21.2,"83.2","18"
"105067",2020-03-05,30,19.2,"76.1","0"
"105067",2020-03-06,32.2,19.8,"73.4","0"
"105067",2020-03-07,32,20,"73","0"
"105067",2020-03-08,33,20.2,"69.7","0"
"105067",2020-03-09,29,21.4,"82.4","0"
"105067",2020-03-10,31,19.4,"73.5","2"
"105067",2020-03-11,25.4,20.4,"87.4","2.7"
"105067",2020-03-12,31,19,"73.9","1.5"
"105067",2020-03-13,33,19.6,"70.2","0"
"105067",2020-03-14,29.6,S/D,"S/D","0.2"
"105067",2020-03-15,32.4,19.4,"74.1","0"
"105067",2020-03-16,31.2,22,"71","0"
"105067",2020-03-17,,,"",""
"105067",2020-03-18,31.4,18,"78.3","0"
