"Code
  Weather Station",Date,T max (°C),T min (°C),"Relative
  Humidity (%)","Rainfall
  (mm/day) "
"111583",2019-11-01,13.2,2.2,"80.1","4.4"
"111583",2019-11-02,12.8,2.8,"79.5","0"
"111583",2019-11-03,12.2,2.6,"82.5","6.8"
"111583",2019-11-04,11.8,3.2,"81.4","4.4"
"111583",2019-11-05,12.8,-1.4,"79.1","2.8"
"111583",2019-11-06,11.4,0.6,"80.6","13"
"111583",2019-11-07,12.4,4.2,"83.5","4.4"
"111583",2019-11-08,11.6,4.4,"85.5","2.8"
"111583",2019-11-09,12.6,1.6,"83.3","2.2"
"111583",2019-11-10,11.4,-0.2,"80.9","6.6"
"111583",2019-11-11,10.4,2.8,"79.8","2.8"
"111583",2019-11-12,14.2,0.8,"78.8","3.2"
"111583",2019-11-13,13.2,0.4,"83.1","6.8"
"111583",2019-11-14,14.4,1.4,"78.4","3.6"
"111583",2019-11-15,14.2,2.4,"76.9","2.8"
"111583",2019-11-16,14.8,2.8,"77.8","4.2"
"111583",2019-11-17,11.2,3,"80.8","2.4"
"111583",2019-11-18,12.8,1.6,"82.8","7.4"
"111583",2019-11-19,13.2,4.2,"85.4","0"
"111583",2019-11-20,13.4,1.8,"80.8","0"
"111583",2019-11-21,14.2,-0.2,"79","2"
"111583",2019-11-22,14.6,0.2,"82","0"
"111583",2019-11-23,13.6,2.4,"82.5","0"
"111583",2019-11-24,12.8,3.2,"85","0"
"111583",2019-11-25,14.6,3.8,"77.5","0"
"111583",2019-11-26,15.4,0.4,"77","2.8"
"111583",2019-11-27,14.8,1.8,"86.6","12.6"
"111583",2019-11-28,13.6,-0.2,"79.5","11.8"
"111583",2019-11-29,15.8,1.8,"81","0"
"111583",2019-11-30,12.2,1.4,"80.1","2.6"
"111583",2019-12-01,12.8,2.2,"80.2","2.6"
"111583",2019-12-02,13.4,3.2,"81.1","8.4"
"111583",2019-12-03,12.2,2.8,"77.6","4.2"
"111583",2019-12-04,12,2,"79.7","5.8"
"111583",2019-12-05,12.8,2.4,"85","7.6"
"111583",2019-12-06,9.2,1.8,"84.6","10.4"
"111583",2019-12-07,12.4,3.8,"81.2","4.2"
"111583",2019-12-08,13.2,1.2,"85.2","12.8"
"111583",2019-12-09,12.8,1.2,"81.8","0"
"111583",2019-12-10,13.6,5.4,"80.7","0"
"111583",2019-12-11,14.2,3.6,"77.1","0"
"111583",2019-12-12,9.2,2.8,"82.2","4.2"
"111583",2019-12-13,12.2,0.8,"82","12.8"
"111583",2019-12-14,10.6,3.2,"84.2","4.6"
"111583",2019-12-15,13.2,2.2,"83.5","2.8"
"111583",2019-12-16,12.8,1.2,"78.2","2"
"111583",2019-12-17,11.6,4.2,"80","3.4"
"111583",2019-12-18,11.8,5,"83","23.4"
"111583",2019-12-19,10.8,2.6,"82.1","14"
"111583",2019-12-20,13.2,3.6,"83.6","7.4"
"111583",2019-12-21,12,2.8,"79.6","6.8"
"111583",2019-12-22,11.8,2.4,"79.1","4.4"
"111583",2019-12-23,11.4,4.2,"83.2","20"
"111583",2019-12-24,12.8,4.4,"82.8","4.2"
"111583",2019-12-25,12.4,2.6,"84.1","2.6"
"111583",2019-12-26,13.6,3.4,"82.1","4.2"
"111583",2019-12-27,13.2,2.6,"83.1","0"
"111583",2019-12-28,14.2,2.8,"84.5","2"
"111583",2019-12-29,12.4,4.2,"81.3","2.2"
"111583",2019-12-30,14.2,2.2,"84.7","3.4"
"111583",2019-12-31,13.8,0.2,"80","0"
"111583",2020-01-01,12.8,3.6,"78.5","4.2"
"111583",2020-01-02,11.6,1.4,"83.2","2.4"
"111583",2020-01-03,10.2,1.2,"80.9","4.4"
"111583",2020-01-04,14.8,5.2,"83","3.6"
"111583",2020-01-05,15.2,0.8,"85.5","3.8"
"111583",2020-01-06,14.6,-0.2,"81.1","0"
"111583",2020-01-07,14.2,1.2,"77.6","0"
"111583",2020-01-08,12.6,0.8,"81.6","3.2"
