ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-16,20628,504,0
AR-K,Argentina,Catamarca,2020-06-16,146,0,0
AR-H,Argentina,Chaco,2020-06-16,2780,45,0
AR-U,Argentina,Chubut,2020-06-16,161,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-16,10632,277,0
AR-X,Argentina,Cordoba,2020-06-16,6503,30,0
AR-W,Argentina,Corrientes,2020-06-16,1186,0,0
AR-E,Argentina,Entre Rios,2020-06-16,581,0,0
AR-P,Argentina,Formosa,2020-06-16,143,0,0
AR-Y,Argentina,Jujuy,2020-06-16,965,0,0
AR-L,Argentina,La Pampa,2020-06-16,132,8,0
AR-F,Argentina,La Rioja,2020-06-16,586,0,0
AR-M,Argentina,Mendoza,2020-06-16,1080,32,0
AR-N,Argentina,Misiones,,0,0,0
AR-Q,Argentina,Neuquen,2020-06-16,834,0,0
AR-R,Argentina,Rio Negro,2020-06-16,1086,0,0
AR-A,Argentina,Salta,2020-06-16,215,0,0
AR-J,Argentina,San Juan,2020-06-16,295,0,0
AR-D,Argentina,San Luis,2020-06-16,164,0,0
AR-Z,Argentina,Santa Cruz,2020-06-16,292,0,0
AR-S,Argentina,Santa Fe,2020-06-16,4836,0,0
AR-G,Argentina,Santiago del Estero,2020-06-16,208,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-16,1018,0,0
AR-T,Argentina,Tucuman,2020-06-16,1544,0,0
